Time (ms) ,x-axis acceleration,y-axis acceleration,z-axis acceleration,x-axis gyroscope,y-axis gyroscope,z-axis gyroscope,x-axis magnetometer,y-axis magnetometer,z-axis magnetometer
0,-7886,504,-590,47,78,40,-108,145,-33
10,-8568,860,-1482,66,109,67,-106,131,-10
20,-8772,1390,-2138,62,41,6,-108,130,-12
30,-8704,1364,-1780,52,-17,-16,-106,129,-11
40,-8326,920,-1284,52,-13,8,-106,129,-10
50,-7958,892,-860,41,37,18,-108,132,-10
60,-8100,834,-1172,39,114,67,-108,132,-11
70,-8408,1198,-2114,46,86,73,-107,128,-9
80,-8586,1620,-2144,35,21,14,-106,130,-10
90,-8680,1426,-2200,14,-30,-25,-105,128,-11
100,-8512,910,-1488,16,-38,-17,-106,131,-12
110,-8234,462,-622,31,62,50,-109,134,-12
120,-7818,96,-442,44,201,159,-108,135,-11
130,-7546,240,-260,81,374,263,-107,132,-14
140,-8098,412,-534,113,534,334,-108,132,-13
150,-8146,412,-712,130,675,450,-108,129,-13
160,-8420,744,-1168,177,760,513,-108,134,-13
170,-8208,520,-930,165,867,628,-108,134,-14
180,-7774,726,-738,198,984,663,-106,133,-13
190,-7616,818,-618,187,1091,673,-109,133,-15
200,-7856,1150,-1526,173,1129,720,-107,135,-15
210,-8216,1388,-1562,199,1165,773,-107,134,-16
220,-8374,1760,-2012,167,1114,715,-109,133,-17
230,-8208,1858,-2144,137,1104,658,-110,134,-19
240,-8138,1766,-2870,139,1052,660,-106,134,-18
250,-8104,1400,-2446,156,1014,643,-111,135,-20
260,-8284,1796,-2626,154,1011,648,-108,135,-20
270,-8236,1976,-2580,143,994,583,-110,139,-17
280,-7860,1758,-2578,140,1057,630,-111,137,-21
290,-7858,1696,-3096,141,1062,684,-108,138,-24
300,-7852,2196,-3754,142,1011,628,-110,138,-24
310,-8086,2148,-3122,144,990,596,-111,140,-25
320,-8144,2234,-3696,145,991,620,-109,139,-24
330,-7426,2030,-3518,155,991,621,-109,139,-24
340,-7628,2158,-3644,154,984,642,-109,139,-27
350,-7914,2456,-4120,170,979,655,-109,141,-27
360,-7902,3246,-5084,166,894,589,-111,139,-26
370,-8048,2758,-4278,162,855,575,-109,141,-28
380,-7740,2452,-4014,156,803,556,-111,141,-28
390,-7154,2196,-3490,163,795,573,-108,144,-32
400,-7378,2562,-3508,142,828,549,-109,141,-29
410,-7782,2234,-3080,162,932,605,-110,142,-32
420,-7464,2322,-3990,133,927,632,-108,144,-32
430,-6744,2470,-3254,162,952,615,-108,143,-32
440,-7222,2516,-3386,151,1018,661,-108,143,-34
450,-7380,2628,-3942,162,1019,626,-111,145,-35
460,-7606,2742,-4178,163,1024,644,-111,143,-34
470,-6886,2792,-4690,168,943,622,-108,147,-35
480,-6830,3200,-4694,155,813,500,-111,147,-37
490,-7578,2694,-3746,170,946,658,-108,147,-37
500,-7298,2584,-4010,145,1014,623,-109,148,-38
510,-7286,3110,-4892,195,1089,726,-109,146,-40
520,-7398,2486,-5082,160,992,645,-109,147,-41
530,-7134,3336,-5630,139,1006,618,-107,150,-41
540,-7028,3712,-6232,166,979,628,-107,149,-41
550,-7170,3174,-5504,129,884,553,-107,150,-39
560,-6728,3344,-5294,116,885,591,-107,148,-43
570,-6160,3358,-5080,152,891,554,-108,151,-46
580,-6564,2962,-5206,156,972,654,-110,151,-48
590,-6716,3556,-5874,171,949,591,-109,152,-47
600,-6856,3492,-5892,139,916,598,-111,152,-49
610,-6122,3586,-6268,156,856,608,-108,152,-51
620,-6162,2860,-4398,160,880,639,-108,151,-50
630,-5970,3260,-5514,149,902,584,-105,152,-48
640,-6360,3710,-5640,124,927,562,-107,152,-52
650,-6108,3392,-5374,139,952,606,-106,156,-51
660,-6272,3508,-5600,149,902,582,-105,154,-52
670,-6124,2642,-4700,174,906,633,-107,154,-53
680,-6292,3260,-5658,168,886,611,-106,155,-52
690,-5820,3460,-5676,168,912,608,-104,158,-54
700,-5830,3536,-5016,161,926,608,-103,157,-54
710,-5926,3786,-5336,145,956,590,-105,157,-56
720,-5392,3668,-5416,125,1033,578,-108,157,-57
730,-5358,3630,-5654,133,1062,601,-103,159,-57
740,-5662,3434,-6566,172,1035,681,-106,157,-58
750,-5696,4088,-7368,180,945,657,-104,156,-58
760,-5558,4142,-6524,178,945,605,-105,160,-61
770,-5408,4028,-6708,144,930,530,-102,159,-61
780,-5396,3908,-6848,123,899,546,-104,158,-60
790,-4974,3370,-6258,132,952,571,-102,160,-62
800,-4940,3380,-7204,159,1001,668,-101,159,-65
810,-4692,3762,-7210,170,971,658,-102,163,-65
820,-4908,4304,-7234,144,955,605,-100,162,-67
830,-4734,4640,-7518,132,922,587,-101,161,-68
840,-4852,4452,-7298,128,864,547,-101,163,-66
850,-4578,3788,-7180,164,872,598,-100,162,-68
860,-4798,3570,-6784,144,858,560,-100,161,-68
870,-4212,3676,-7086,137,890,575,-99,164,-70
880,-4096,4216,-7394,152,871,589,-98,166,-69
890,-4382,4542,-7078,140,881,581,-96,164,-71
900,-4316,4524,-6948,108,883,533,-98,163,-72
910,-4126,4192,-6964,121,888,566,-97,164,-73
920,-3912,3858,-6496,143,959,605,-96,164,-71
930,-4150,3858,-7434,152,933,585,-95,164,-74
940,-4168,3794,-7194,181,947,625,-98,165,-74
950,-3926,4268,-7722,171,908,628,-96,167,-76
960,-3698,4716,-7408,148,916,586,-95,167,-75
970,-3640,4734,-7288,135,930,561,-94,164,-78
980,-3778,4928,-7396,131,938,536,-95,165,-76
990,-3432,4336,-7396,135,942,575,-94,168,-76
1000,-3670,4088,-7606,163,979,602,-93,168,-76
1010,-3310,3698,-7456,155,1008,637,-95,170,-80
1020,-3278,4266,-8246,152,985,593,-92,170,-79
1030,-3262,4788,-8496,139,961,618,-92,168,-80
1040,-2934,4598,-8104,162,924,623,-89,171,-82
1050,-2978,4102,-7688,172,951,655,-92,169,-81
1060,-2814,4162,-7688,151,994,628,-89,170,-82
1070,-2536,4542,-8216,148,953,612,-90,171,-84
1080,-2526,4720,-8450,153,923,610,-90,169,-84
1090,-3040,4900,-8700,159,867,582,-89,170,-85
1100,-2792,4706,-8724,149,805,545,-88,170,-85
1110,-2280,4394,-7730,123,842,561,-85,174,-89
1120,-1940,4554,-7776,127,876,561,-87,170,-86
1130,-2040,4510,-7326,136,931,590,-87,172,-86
1140,-2564,4418,-8130,161,951,615,-85,172,-87
1150,-2300,4128,-8018,151,942,608,-84,173,-90
1160,-2256,4324,-8762,162,901,590,-84,174,-90
1170,-2014,4452,-8452,159,898,592,-84,172,-90
1180,-1748,4576,-8240,153,865,555,-82,174,-92
1190,-1416,4704,-7520,134,922,571,-80,173,-91
1200,-1586,4570,-7718,132,900,576,-82,174,-91
1210,-1536,4568,-8358,140,879,575,-78,171,-92
1220,-1654,4376,-8278,169,891,597,-79,175,-92
1230,-1532,3980,-8182,169,941,605,-78,174,-93
1240,-1404,4482,-8692,158,918,576,-78,174,-94
1250,-664,4832,-8422,130,943,542,-78,176,-94
1260,-670,5000,-8070,120,960,563,-78,179,-93
1270,-1108,4754,-8606,141,978,609,-77,174,-96
1280,-864,4276,-8688,163,954,636,-77,174,-95
1290,-742,3938,-8456,164,956,657,-74,176,-94
1300,-1110,4376,-8784,176,943,627,-76,176,-97
1310,68,4416,-8692,161,959,628,-75,177,-99
1320,66,4564,-8490,136,941,615,-74,178,-98
1330,-354,4458,-8522,131,931,607,-74,179,-99
1340,274,4432,-8298,145,935,615,-72,177,-101
1350,132,4726,-8398,151,903,601,-73,179,-100
1360,250,4694,-8624,152,896,584,-69,179,-99
1370,276,4532,-8418,168,896,574,-69,178,-99
1380,470,4162,-7894,141,888,553,-70,178,-102
1390,248,4270,-8152,128,895,537,-69,178,-104
1400,412,4250,-8212,105,892,507,-67,179,-104
1410,700,4460,-8304,119,897,561,-67,180,-103
1420,580,4444,-8152,144,886,600,-68,181,-104
1430,890,4164,-7922,171,940,642,-66,179,-104
1440,752,3946,-7980,165,981,636,-65,180,-103
1450,834,4212,-8644,151,968,621,-63,178,-105
1460,892,4454,-8706,156,934,627,-64,180,-106
1470,722,4508,-8738,140,929,601,-63,180,-106
1480,1688,4258,-8314,130,935,601,-62,180,-104
1490,1574,4798,-8720,122,900,562,-60,180,-107
1500,1454,4674,-8672,143,888,585,-59,181,-106
1510,1144,4384,-9078,179,852,579,-59,182,-109
1520,1480,4458,-9318,157,769,507,-56,180,-108
1530,1642,4804,-9726,122,657,404,-57,180,-106
1540,1492,5522,-10646,95,453,283,-55,179,-108
1550,1748,5740,-10718,72,234,155,-59,180,-108
1560,1632,5610,-10632,33,-8,7,-56,178,-107
1570,1744,4822,-9458,14,-162,-94,-57,182,-110
1580,1742,3954,-8090,13,-192,-101,-56,180,-107
1590,1796,3406,-7124,25,-132,-60,-55,181,-106
1600,1818,3290,-6982,38,-21,-5,-55,180,-109
1610,1754,3668,-7568,56,61,37,-54,181,-111
1620,1766,4296,-8548,64,73,48,-54,178,-111
1630,1638,4768,-9522,38,20,19,-56,179,-108
1640,1586,4810,-9602,36,-80,-26,-55,179,-108
1650,1502,4596,-9090,23,-148,-70,-56,180,-109
1660,1530,4078,-8168,7,-165,-78,-58,179,-107
1670,1530,3652,-7452,25,-119,-48,-56,180,-109
1680,1480,3520,-7176,35,-44,7,-57,182,-109
1690,1488,3784,-7520,51,33,44,-56,180,-108
1700,1450,4318,-8336,52,57,46,-57,182,-108
1710,1382,4936,-9278,44,-20,-9,-57,178,-108
1720,1450,5126,-9558,32,-121,-63,-57,179,-105
1730,1434,4936,-9542,17,-249,-156,-57,179,-107
1740,1386,4810,-9314,6,-394,-235,-57,181,-108
1750,1438,4926,-9382,-1,-520,-331,-56,181,-106
1760,1726,5132,-9580,-29,-663,-429,-58,178,-105
1770,1356,5314,-10200,-42,-812,-528,-58,179,-106
1780,1394,5360,-10444,-48,-988,-612,-60,181,-106
1790,1130,5072,-10050,-74,-1118,-690,-60,180,-105
1800,1766,4500,-9266,-88,-1189,-761,-59,180,-108
1810,1378,4250,-8776,-117,-1232,-788,-62,179,-105
1820,1548,3866,-7750,-108,-1240,-779,-62,180,-105
1830,1522,3772,-7796,-95,-1192,-739,-67,181,-106
1840,1252,4094,-8068,-99,-1153,-717,-63,179,-103
1850,694,4012,-8014,-98,-1084,-669,-66,179,-103
1860,608,4320,-8512,-87,-1063,-648,-65,179,-104
1870,198,4226,-8588,-74,-1067,-645,-68,178,-101
1880,-222,3974,-8610,-64,-1037,-657,-69,178,-101
1890,32,4020,-8406,-96,-1020,-661,-70,180,-99
1900,218,4148,-8034,-92,-985,-616,-68,178,-100
1910,14,4500,-8258,-89,-993,-599,-70,178,-101
1920,-662,4666,-8716,-65,-999,-567,-70,177,-102
1930,-980,4444,-8312,-60,-980,-560,-69,179,-102
1940,-810,4466,-8438,-62,-986,-577,-73,176,-98
1950,-852,4556,-8210,-65,-969,-590,-75,177,-99
1960,-886,4524,-8022,-64,-971,-613,-73,176,-98
1970,-846,4662,-8106,-59,-927,-614,-74,178,-96
