Time (ms) ,x-axis acceleration,y-axis acceleration,z-axis acceleration,x-axis gyroscope,y-axis gyroscope,z-axis gyroscope,x-axis magnetometer,y-axis magnetometer,z-axis magnetometer
0,220,4358,-8490,-31,-688,-376,-110,146,-40
10,8,4324,-8464,-28,-701,-386,-66,179,-104
20,566,4244,-7914,-35,-668,-381,-68,178,-106
30,368,4462,-8214,-34,-658,-405,-70,178,-102
40,76,4886,-8740,-33,-696,-418,-68,177,-102
50,-68,4930,-8862,-31,-755,-446,-69,176,-100
60,-316,4854,-8852,-33,-764,-470,-67,178,-101
70,234,4814,-8356,-48,-757,-513,-68,175,-101
80,60,4566,-8310,-51,-760,-529,-70,177,-99
90,-408,4302,-8508,-50,-762,-522,-70,177,-99
100,-6,3846,-7860,-37,-716,-487,-73,178,-99
110,20,3738,-7824,-27,-670,-451,-74,178,-98
120,-284,4024,-8798,-30,-652,-433,-73,180,-100
130,-712,4478,-9478,-23,-746,-426,-72,174,-97
140,-564,4864,-9188,-50,-763,-459,-72,177,-98
150,-220,4446,-8752,-67,-793,-473,-73,174,-96
160,-714,4016,-7718,-39,-767,-428,-76,176,-97
170,-292,3938,-7384,-58,-694,-406,-76,177,-98
180,-366,4552,-8092,-60,-639,-379,-76,176,-97
190,-762,5228,-9162,-18,-701,-384,-76,176,-94
200,-1052,5540,-9616,-41,-777,-466,-77,176,-95
210,-1454,5222,-9274,-102,-866,-564,-77,177,-96
220,-1310,4328,-8208,-75,-873,-573,-76,174,-97
230,-1200,3620,-7154,-74,-846,-544,-78,175,-93
240,-990,3422,-6518,-57,-726,-464,-80,175,-93
250,-1586,4042,-7332,-38,-650,-415,-81,174,-93
260,-1606,4504,-8572,-33,-627,-393,-81,176,-94
270,-2084,5316,-10032,-7,-686,-401,-80,179,-93
280,-2082,5678,-10116,-31,-831,-458,-81,177,-93
290,-1830,5282,-9386,-64,-933,-541,-81,174,-90
300,-1480,4100,-7450,-65,-928,-584,-81,173,-90
310,-1238,3748,-6736,-75,-836,-545,-84,170,-90
320,-1600,3612,-6582,-47,-719,-458,-84,173,-91
330,-1506,3972,-6942,-7,-588,-372,-84,174,-90
340,-1922,4632,-8022,-21,-541,-388,-86,169,-89
350,-2338,4962,-9314,-36,-604,-422,-84,172,-89
360,-2140,4888,-9260,-41,-698,-446,-85,172,-90
370,-2216,4682,-8662,-57,-760,-475,-87,172,-91
380,-1926,4136,-7602,-49,-754,-470,-85,173,-88
390,-2392,3876,-7702,-17,-718,-408,-88,172,-88
400,-2248,4062,-7798,-18,-700,-393,-86,173,-87
410,-2468,4622,-8390,-22,-683,-395,-87,169,-85
420,-2966,5140,-8952,-25,-762,-438,-88,172,-85
430,-2874,5248,-8998,-41,-822,-491,-89,172,-88
440,-2824,4878,-8452,-62,-887,-528,-91,172,-83
450,-2578,4306,-7736,-76,-892,-548,-91,173,-84
460,-2532,4020,-7062,-66,-871,-550,-91,169,-85
470,-2844,3808,-6944,-50,-760,-482,-90,171,-84
480,-3114,4282,-7816,-50,-737,-508,-89,167,-83
490,-3100,4222,-8124,-42,-756,-479,-91,172,-81
500,-3422,4310,-7916,-41,-766,-483,-91,168,-81
510,-3180,3904,-7302,-31,-724,-425,-91,168,-81
520,-3316,3754,-7300,-31,-700,-428,-92,167,-79
530,-3248,4022,-7106,-43,-648,-409,-92,168,-81
540,-3084,4218,-7514,-25,-630,-365,-92,168,-79
550,-3504,4904,-8458,-26,-687,-384,-95,168,-78
560,-4080,5230,-8874,-12,-764,-436,-94,169,-79
570,-4060,5202,-8570,-55,-833,-517,-94,166,-78
580,-3682,4560,-7740,-66,-883,-563,-95,168,-77
590,-3170,4128,-6678,-72,-877,-575,-95,166,-78
600,-3144,3514,-6062,-67,-780,-538,-94,167,-76
610,-3402,3630,-6832,-46,-674,-437,-95,167,-75
620,-3980,3974,-7442,-38,-639,-404,-97,165,-76
630,-4160,4556,-7888,-46,-650,-417,-94,168,-75
640,-4302,4638,-8626,-44,-725,-437,-95,166,-74
650,-4482,4492,-8058,-24,-802,-458,-98,166,-73
660,-4208,4130,-7670,-45,-840,-457,-97,166,-72
670,-3992,4058,-6546,-37,-818,-487,-97,165,-73
680,-4018,3900,-6472,-35,-752,-443,-98,165,-71
690,-4016,4082,-6444,-36,-698,-429,-96,163,-72
700,-4206,3998,-6668,-31,-661,-413,-99,165,-70
710,-4496,4570,-7222,-60,-684,-479,-99,163,-70
720,-4742,4414,-7628,-50,-701,-448,-98,164,-71
730,-4952,4316,-7652,-38,-734,-455,-101,162,-69
740,-5048,4042,-7162,-41,-753,-481,-97,163,-67
750,-4806,3956,-7316,-49,-766,-491,-100,165,-67
760,-4936,4086,-7076,-34,-793,-485,-98,160,-69
770,-4944,3882,-6796,-43,-782,-474,-100,161,-66
780,-4522,3802,-6284,-43,-748,-468,-101,164,-66
790,-4716,3822,-6308,-35,-714,-432,-101,159,-65
800,-4996,3984,-6748,-28,-682,-405,-101,161,-63
810,-4900,4092,-6908,-23,-681,-410,-103,161,-65
820,-5430,4314,-7258,-46,-719,-462,-100,162,-62
830,-5290,4172,-7388,-65,-788,-491,-98,159,-63
840,-5502,3992,-6774,-59,-803,-486,-102,160,-65
850,-5346,3732,-6130,-55,-762,-481,-102,158,-62
860,-4944,3420,-5970,-53,-738,-459,-101,159,-62
870,-5346,3626,-6308,-31,-708,-414,-105,160,-60
880,-5814,4056,-6714,-24,-731,-428,-106,159,-59
890,-6200,4472,-7554,-33,-810,-481,-104,159,-59
900,-5720,4404,-7230,-45,-863,-524,-105,157,-60
910,-5782,3912,-6306,-58,-918,-543,-101,156,-58
920,-5382,3348,-5582,-67,-891,-524,-105,156,-57
930,-5100,3286,-5032,-63,-819,-512,-105,157,-57
940,-5388,3178,-5346,-50,-706,-463,-105,157,-56
950,-5966,3604,-5872,-50,-677,-441,-105,156,-55
960,-6172,3546,-6074,-40,-646,-411,-105,158,-54
970,-6184,3696,-6538,-44,-708,-436,-107,156,-53
980,-6272,3680,-6036,-24,-728,-438,-106,153,-53
990,-6032,3506,-5862,-32,-748,-457,-107,155,-53
1000,-5942,3154,-5186,-22,-742,-458,-105,153,-53
1010,-5764,3386,-5384,-33,-717,-416,-107,155,-50
1020,-5972,3464,-5286,-28,-702,-425,-105,154,-53
1030,-6518,3820,-5734,-32,-682,-420,-106,154,-52
1040,-6348,3620,-5850,-42,-710,-452,-105,155,-51
1050,-6472,3644,-5730,-41,-690,-432,-108,155,-49
