Time (ms) ,x-axis acceleration,y-axis acceleration,z-axis acceleration,x-axis gyroscope,y-axis gyroscope,z-axis gyroscope,x-axis magnetometer,y-axis magnetometer,z-axis magnetometer
0,-4502,4550,-8110,99,511,304,-110,138,-23
10,-4508,4404,-8146,96,441,265,-97,167,-73
20,-4178,4230,-7822,88,384,238,-96,165,-74
30,-3936,4044,-7394,89,384,248,-98,165,-75
40,-3892,3920,-7130,94,403,274,-97,165,-75
50,-3848,3940,-7122,97,437,298,-95,167,-74
60,-3840,4128,-7478,101,450,302,-96,166,-73
70,-3876,4414,-7756,96,441,289,-95,165,-72
80,-4096,4314,-7856,89,431,305,-96,164,-75
90,-3928,4258,-7794,98,414,302,-95,168,-77
100,-3782,4248,-7364,87,412,280,-97,164,-77
110,-3808,4322,-7426,80,414,258,-96,168,-75
120,-3552,4170,-7192,80,427,294,-95,167,-74
130,-3794,4040,-7168,98,434,314,-94,166,-76
140,-3836,4052,-7066,99,484,340,-97,167,-79
150,-3902,4316,-7534,105,484,321,-94,168,-79
160,-3756,4524,-7824,94,447,307,-96,166,-77
170,-3596,4666,-7754,106,444,310,-95,168,-76
180,-3496,4476,-7350,95,442,289,-90,168,-79
190,-3406,4342,-7054,95,463,290,-92,167,-78
200,-3332,4294,-7610,91,463,298,-94,168,-77
210,-3428,4542,-7800,101,462,298,-92,170,-80
220,-3504,4596,-8108,106,466,285,-91,169,-81
230,-3398,4500,-8020,78,406,227,-92,167,-79
240,-3024,4230,-7608,88,432,261,-92,168,-80
250,-2762,4004,-7114,95,467,269,-91,170,-81
260,-2908,3808,-7090,99,525,322,-91,170,-80
270,-2740,3692,-7290,115,574,359,-92,171,-83
280,-2784,4192,-8108,114,569,367,-92,169,-81
290,-3292,4818,-8866,125,527,366,-90,169,-83
300,-3308,4890,-9156,93,450,338,-92,171,-83
310,-2970,4916,-8810,95,359,264,-88,170,-82
320,-2890,4706,-8166,81,327,237,-89,170,-83
330,-2696,4432,-7764,75,321,225,-90,172,-82
340,-2504,4266,-7360,89,359,240,-90,170,-85
350,-2676,4344,-7516,82,387,255,-90,172,-85
360,-2658,4294,-7754,75,432,280,-89,170,-85
370,-2620,4156,-7614,93,463,293,-87,170,-86
380,-2642,4072,-7588,98,511,315,-89,170,-83
390,-2988,4318,-8210,89,487,306,-86,171,-84
400,-2610,4444,-8168,93,494,320,-89,171,-87
410,-2652,4758,-8626,97,436,291,-88,172,-84
420,-2650,4724,-8368,92,396,295,-87,171,-86
430,-2452,4680,-8142,92,373,287,-86,171,-86
440,-2106,4174,-7236,94,410,298,-86,173,-86
450,-2062,4110,-7072,97,484,326,-88,173,-89
