Time (ms) ,x-axis acceleration,y-axis acceleration,z-axis acceleration,x-axis gyroscope,y-axis gyroscope,z-axis gyroscope,x-axis magnetometer,y-axis magnetometer,z-axis magnetometer
0,1562,4488,-8880,16,-169,-79,-86,170,-86
10,1544,3810,-7920,14,-160,-73,-57,178,-109
20,1496,3488,-7246,29,-93,-26,-55,181,-108
30,1520,3542,-7192,40,-5,22,-55,179,-109
40,1484,3960,-7864,51,57,51,-56,178,-109
50,1418,4624,-8850,52,38,31,-57,181,-106
60,1346,4906,-9704,43,-69,-39,-57,177,-105
70,1350,5210,-9942,26,-205,-124,-56,183,-107
80,1536,5114,-9508,6,-338,-214,-56,181,-107
90,1478,5082,-9602,-11,-497,-316,-59,180,-107
100,1336,5344,-10022,-46,-679,-452,-57,180,-105
110,1338,5422,-10484,-50,-857,-554,-59,180,-106
120,1842,5368,-10344,-85,-1018,-658,-58,180,-108
130,1528,5032,-10072,-84,-1162,-746,-60,181,-107
140,1596,4770,-9620,-122,-1302,-833,-59,180,-107
150,1462,4322,-8688,-102,-1359,-838,-63,181,-107
160,1032,3898,-8142,-81,-1367,-823,-63,178,-103
170,1192,3534,-7908,-77,-1293,-776,-64,180,-105
180,1088,4042,-7700,-75,-1253,-757,-64,177,-105
190,894,4198,-8420,-87,-1213,-747,-66,180,-103
200,980,4612,-8466,-98,-1173,-753,-68,179,-103
210,666,4458,-8422,-118,-1173,-757,-67,178,-101
220,508,4446,-8000,-115,-1178,-731,-70,179,-103
230,-102,4576,-8350,-79,-1165,-680,-71,181,-102
240,-742,4584,-8604,-67,-1133,-667,-70,178,-102
250,-224,4304,-8186,-65,-1120,-662,-69,178,-102
260,-544,4154,-8448,-78,-1080,-673,-70,176,-100
270,-466,3920,-7612,-76,-1028,-653,-74,177,-100
280,-962,4148,-7670,-75,-1015,-608,-73,177,-99
290,-926,4414,-8500,-52,-999,-600,-75,177,-97
300,-574,4554,-8412,-45,-1013,-620,-76,176,-96
310,-1270,4824,-8814,-57,-1028,-651,-76,176,-96
320,-836,4436,-8116,-74,-1014,-648,-78,175,-96
330,-942,4380,-7692,-88,-975,-661,-76,177,-94
340,-788,4134,-7630,-89,-922,-642,-78,175,-97
350,-1114,4548,-8740,-74,-945,-636,-75,174,-95
360,-1604,4814,-9176,-71,-1020,-652,-81,175,-95
370,-1186,4712,-9128,-70,-1072,-680,-80,175,-93
380,-1778,4644,-8580,-76,-1103,-689,-80,172,-92
390,-1586,4576,-8778,-88,-1124,-711,-81,172,-93
400,-1642,3960,-8240,-82,-1117,-704,-82,173,-90
410,-1550,4180,-8018,-74,-1117,-689,-84,174,-91
420,-1326,4356,-7958,-84,-1087,-638,-84,172,-91
430,-1968,4752,-8306,-57,-1097,-619,-85,175,-89
440,-1960,4698,-8312,-69,-1078,-647,-83,173,-88
450,-2330,4836,-8524,-90,-1086,-668,-85,173,-90
460,-2252,4538,-8454,-84,-1132,-687,-85,172,-86
470,-1996,4432,-8038,-106,-1143,-716,-88,171,-87
480,-2998,4718,-7946,-87,-1135,-723,-88,171,-84
490,-2576,4190,-7440,-99,-1088,-699,-87,173,-86
500,-2688,4228,-7640,-100,-1075,-682,-89,170,-84
510,-2952,4456,-7628,-87,-1070,-629,-89,169,-82
520,-3340,4584,-7978,-52,-1061,-600,-90,168,-80
530,-3614,4590,-7596,-52,-1087,-635,-90,171,-81
540,-3498,4710,-7834,-74,-1121,-706,-91,170,-80
550,-3130,4206,-6884,-77,-1088,-728,-93,170,-80
560,-3308,4312,-7260,-73,-1050,-670,-96,168,-82
570,-3436,4230,-7276,-65,-1055,-646,-93,169,-77
580,-3622,4528,-7442,-96,-1027,-682,-95,169,-78
590,-3390,4746,-8170,-105,-1045,-713,-95,165,-77
600,-3698,4120,-7538,-88,-1083,-704,-95,167,-76
610,-3938,3926,-7446,-76,-1052,-646,-96,167,-76
620,-3606,3642,-7152,-65,-1022,-634,-97,167,-75
630,-3936,3708,-7402,-60,-978,-617,-97,165,-75
640,-3922,4354,-7696,-68,-1029,-656,-98,165,-73
650,-4528,4784,-8002,-55,-1081,-647,-98,164,-71
660,-4448,4460,-7808,-68,-1087,-623,-96,166,-74
670,-4162,3930,-6732,-64,-1071,-645,-98,166,-70
680,-4512,4112,-7144,-103,-1090,-654,-98,164,-69
690,-4498,4372,-7340,-81,-1081,-652,-98,164,-71
700,-4410,4098,-7062,-68,-1094,-679,-97,162,-68
710,-4588,4222,-6674,-88,-1095,-712,-101,163,-66
720,-4506,3706,-6342,-94,-1082,-671,-100,164,-67
730,-5154,4086,-6978,-87,-1118,-676,-102,164,-67
740,-5546,4116,-7176,-91,-1144,-676,-101,162,-65
750,-5480,4128,-6764,-95,-1168,-715,-101,161,-63
760,-5440,3994,-6446,-83,-1149,-701,-102,161,-62
770,-5390,3514,-5926,-70,-1066,-654,-103,159,-63
780,-5554,3450,-5434,-73,-1012,-621,-103,158,-62
790,-5198,3552,-6006,-58,-946,-601,-104,158,-59
800,-5360,3774,-6140,-52,-951,-583,-103,158,-61
810,-5624,3734,-6102,-64,-960,-589,-103,156,-60
820,-5658,3870,-6518,-61,-956,-595,-104,158,-59
830,-5602,3528,-5978,-75,-953,-607,-104,154,-58
840,-5924,3764,-6350,-72,-954,-611,-105,156,-56
850,-5786,3852,-7040,-58,-1002,-621,-105,154,-56
860,-5686,3662,-6434,-71,-1073,-661,-106,156,-58
870,-5704,3890,-6362,-91,-1116,-702,-105,155,-52
880,-5658,4076,-6520,-90,-1147,-733,-105,154,-51
890,-6276,4090,-6452,-98,-1194,-748,-108,154,-53
900,-6362,3360,-5824,-109,-1231,-749,-106,153,-50
910,-6268,3106,-5280,-88,-1198,-726,-106,154,-50
920,-5900,2782,-4794,-95,-1107,-703,-106,154,-51
930,-5996,3328,-5544,-94,-1084,-721,-107,152,-50
940,-6334,3448,-6000,-92,-1087,-675,-109,152,-47
