Time (ms) ,x-axis acceleration,y-axis acceleration,z-axis acceleration,x-axis gyroscope,y-axis gyroscope,z-axis gyroscope,x-axis magnetometer,y-axis magnetometer,z-axis magnetometer
0,500,4054,-7878,225,1366,946,-105,157,-54
10,1032,4468,-7832,180,1423,905,-63,179,-102
20,1772,4770,-8036,175,1408,900,-62,179,-104
30,1422,4916,-8858,190,1374,931,-60,180,-103
40,2238,4730,-8372,196,1389,919,-60,179,-104
50,1776,5166,-9120,203,1320,871,-58,179,-103
60,1836,4868,-9176,186,1164,786,-55,179,-104
70,1494,5464,-10396,237,936,683,-55,179,-104
80,2070,6016,-11204,112,665,420,-54,180,-106
90,2104,6496,-11642,78,334,209,-53,180,-105
100,2166,6566,-11622,42,-12,3,-53,180,-104
110,2308,5590,-10242,20,-233,-136,-54,180,-104
120,2194,4488,-8738,7,-320,-184,-55,179,-103
130,2226,3428,-7032,3,-272,-162,-54,179,-105
140,2104,2980,-6548,16,-151,-67,-55,181,-104
150,2166,3244,-6574,58,-17,17,-54,181,-105
160,2064,4000,-7542,52,79,50,-53,180,-107
170,1924,4630,-8782,66,70,31,-56,180,-105
180,1842,5210,-9662,41,-6,-16,-53,180,-106
190,1728,5240,-9830,1,-126,-78,-56,180,-105
200,1678,4636,-8902,1,-204,-107,-54,182,-104
210,1564,3962,-7744,4,-207,-102,-54,179,-106
220,1530,3328,-6904,0,-138,-57,-54,180,-106
230,1432,3346,-6792,28,-39,23,-55,181,-106
240,1462,4064,-7388,42,7,51,-57,181,-104
250,1510,4904,-8524,45,-18,23,-55,179,-103
260,1428,5720,-9982,34,-176,-95,-56,181,-105
270,1488,6290,-10826,19,-435,-264,-55,180,-103
280,1596,6816,-11598,-20,-726,-473,-56,181,-104
290,1480,6774,-11512,-74,-1034,-699,-56,181,-104
300,1892,5810,-10434,-56,-1296,-860,-59,181,-101
310,1722,5822,-9790,-142,-1509,-1047,-59,180,-103
320,2090,5044,-8348,-128,-1601,-1126,-59,180,-102
330,1340,4782,-9264,-148,-1681,-1186,-62,180,-102
340,1428,4666,-9216,-174,-1764,-1216,-65,179,-103
350,1660,3922,-8402,-184,-1757,-1183,-64,180,-101
360,1388,4252,-8078,-196,-1731,-1159,-66,180,-100
370,1090,4240,-8510,-165,-1750,-1069,-68,180,-98
380,684,4184,-8542,-123,-1687,-1037,-67,178,-99
390,22,4310,-8484,-150,-1651,-1030,-70,179,-98
400,682,4616,-8308,-141,-1623,-1010,-69,178,-98
410,276,4928,-8202,-142,-1581,-1032,-72,178,-97
420,-534,4496,-8166,-134,-1576,-1012,-72,178,-95
430,-778,4226,-8032,-161,-1517,-966,-74,176,-94
440,-698,3860,-7378,-163,-1438,-956,-75,178,-93
450,-784,3740,-7256,-128,-1410,-918,-76,177,-95
460,-1472,4246,-8078,-125,-1428,-904,-77,174,-91
470,-1366,4672,-7676,-129,-1380,-921,-79,173,-90
480,-1452,4632,-7090,-122,-1346,-925,-78,178,-92
490,-1894,5112,-8448,-135,-1352,-908,-79,174,-91
500,-1916,5002,-8744,-101,-1398,-895,-81,173,-88
510,-1814,4740,-8102,-126,-1410,-958,-81,175,-87
520,-1482,4586,-7152,-113,-1378,-956,-84,175,-85
530,-1832,4242,-7174,-125,-1398,-976,-84,173,-85
540,-1252,4550,-6900,-148,-1328,-984,-82,173,-85
550,-1588,5122,-7728,-147,-1297,-985,-84,173,-85
