Time (ms) ,x-axis acceleration,y-axis acceleration,z-axis acceleration,x-axis gyroscope,y-axis gyroscope,z-axis gyroscope,x-axis magnetometer,y-axis magnetometer,z-axis magnetometer
0,-6000,3774,-6380,194,1462,937,-94,123,5
10,-5862,3728,-6522,190,1435,894,-103,158,-54
20,-5380,3800,-7000,189,1433,905,-104,159,-56
30,-5040,4282,-6924,176,1365,898,-102,158,-59
40,-5186,4240,-6388,200,1433,887,-103,158,-59
50,-4938,3764,-7078,206,1412,877,-104,158,-62
60,-4814,4020,-6988,170,1396,898,-103,159,-62
70,-4730,4290,-6726,155,1425,866,-101,162,-64
80,-4698,4434,-7486,195,1392,896,-102,161,-67
90,-4358,3884,-6588,214,1419,902,-100,159,-66
100,-4186,3984,-7076,189,1407,857,-97,164,-68
110,-4018,3930,-7312,190,1379,910,-99,163,-67
120,-3956,4260,-7484,187,1317,878,-100,162,-70
130,-4250,4350,-7258,178,1356,863,-100,163,-70
140,-3668,4096,-7438,196,1353,882,-97,164,-72
150,-3828,3890,-6668,191,1331,894,-95,164,-73
160,-3350,4016,-6784,214,1380,911,-96,167,-74
170,-3956,4508,-7416,202,1385,891,-95,167,-73
180,-3224,4242,-7582,196,1372,878,-94,165,-73
190,-3286,4814,-7206,160,1375,848,-94,166,-76
200,-3344,4486,-7170,191,1412,882,-92,166,-80
210,-3030,4026,-7478,214,1406,903,-91,167,-79
220,-3248,4348,-7928,240,1416,966,-91,166,-81
230,-2888,3890,-7608,254,1440,959,-92,170,-82
240,-3156,4260,-8142,222,1446,912,-90,170,-83
250,-2622,4206,-7954,217,1450,930,-88,170,-83
260,-2482,4588,-8266,188,1445,922,-87,169,-83
270,-1868,4892,-8094,177,1434,903,-87,171,-85
280,-2092,4464,-8398,197,1396,930,-87,172,-86
290,-1586,3828,-7910,234,1415,973,-85,170,-87
300,-1406,4278,-7992,209,1423,889,-83,172,-89
310,-1526,4560,-8760,194,1407,881,-83,174,-88
320,-1314,4530,-8592,208,1410,900,-83,172,-91
330,-1484,4806,-8502,160,1380,874,-83,174,-91
340,-1628,4880,-9358,181,1309,871,-81,177,-92
350,-1198,4384,-8784,199,1304,899,-80,174,-91
360,-764,4324,-8408,198,1256,843,-77,174,-93
370,-786,4300,-7530,176,1340,822,-77,176,-97
380,-674,4116,-7630,171,1367,870,-75,176,-94
390,-374,4034,-7592,178,1405,929,-77,176,-97
400,240,4248,-7260,169,1500,956,-72,175,-96
410,-308,4896,-8218,184,1498,958,-77,179,-100
420,-542,5090,-8812,197,1455,947,-73,176,-100
430,-262,5242,-8520,196,1431,942,-72,178,-100
