Time (ms) ,x-axis acceleration,y-axis acceleration,z-axis acceleration,x-axis gyroscope,y-axis gyroscope,z-axis gyroscope,x-axis magnetometer,y-axis magnetometer,z-axis magnetometer
0,-100,4152,-7794,0,-270,-152,-73,177,-100
10,-210,4254,-7974,13,-240,-138,-71,177,-98
20,-356,4476,-8340,17,-229,-140,-75,178,-101
30,-582,4548,-8986,32,-243,-134,-72,177,-101
40,-606,4594,-8942,15,-276,-159,-72,177,-98
50,-442,4560,-8526,4,-278,-175,-73,177,-98
60,-492,4432,-8492,-2,-295,-180,-73,176,-98
70,-516,4318,-8480,10,-312,-173,-74,179,-99
80,-440,4362,-8248,7,-301,-174,-74,179,-100
90,-416,4312,-8120,5,-278,-171,-74,175,-96
100,-526,4360,-8394,19,-278,-157,-73,176,-98
110,-362,4484,-8430,13,-267,-166,-76,177,-99
120,-548,4580,-8728,16,-248,-161,-76,176,-97
130,-622,4640,-8794,8,-274,-181,-71,175,-98
140,-528,4362,-8310,-2,-279,-188,-75,176,-98
150,-580,4134,-8156,11,-263,-173,-76,176,-98
160,-490,4022,-7884,18,-229,-137,-76,177,-100
170,-540,4080,-8042,21,-183,-117,-76,177,-99
180,-540,4176,-8262,14,-163,-95,-77,177,-98
190,-678,4438,-8382,25,-161,-82,-75,176,-99
200,-758,4622,-8720,25,-201,-92,-74,175,-97
210,-840,4662,-8798,26,-215,-98,-75,177,-98
220,-896,4642,-8780,15,-254,-130,-76,175,-96
230,-768,4550,-8450,4,-277,-161,-74,176,-96
240,-690,4580,-8178,0,-267,-176,-76,176,-97
250,-832,4578,-8368,0,-282,-177,-77,175,-96
260,-898,4516,-8486,6,-297,-170,-75,177,-97
270,-918,4652,-8374,3,-292,-184,-77,176,-97
280,-868,4632,-8420,-6,-294,-206,-75,175,-98
290,-1094,4660,-8870,4,-339,-204,-75,177,-95
300,-946,4620,-8606,0,-373,-218,-77,176,-96
310,-882,4550,-8166,-17,-356,-244,-76,177,-95
320,-1030,4312,-8234,-15,-365,-243,-78,176,-95
330,-962,4098,-7762,-6,-325,-198,-79,177,-96
340,-896,4196,-8020,-1,-267,-170,-78,176,-97
350,-930,4208,-7934,7,-246,-140,-79,174,-93
360,-1104,4336,-8260,15,-224,-126,-79,177,-96
370,-1164,4434,-8240,9,-223,-131,-80,173,-94
380,-1126,4528,-8230,3,-223,-131,-79,177,-96
390,-1150,4442,-8266,13,-214,-123,-79,176,-94
400,-1264,4490,-8424,18,-222,-113,-79,174,-95
410,-1306,4418,-8386,17,-228,-126,-79,175,-96
420,-1382,4374,-8290,18,-231,-133,-79,173,-95
430,-1282,4270,-8082,14,-239,-133,-80,176,-95
440,-1166,4342,-7728,14,-180,-106,-81,176,-93
450,-1288,4444,-7970,9,-143,-101,-80,176,-97
460,-1316,4424,-8170,16,-143,-87,-82,175,-93
470,-1412,4608,-8542,20,-163,-96,-79,176,-94
480,-1618,4840,-9030,23,-224,-124,-80,174,-92
490,-1618,5070,-9268,13,-301,-171,-81,173,-94
500,-1408,4948,-8862,2,-341,-200,-79,175,-94
510,-1286,4470,-8014,-6,-343,-226,-80,173,-94
520,-1132,4082,-7394,-6,-293,-190,-81,175,-95
530,-1186,4120,-7560,9,-242,-155,-79,176,-90
540,-1460,4562,-8354,15,-222,-133,-80,175,-94
550,-1760,4976,-9172,23,-254,-162,-80,175,-92
560,-1752,5178,-9588,4,-348,-213,-81,175,-92
570,-1614,5024,-9150,-21,-446,-263,-81,175,-92
580,-1496,4624,-8348,-25,-451,-270,-80,173,-93
590,-1542,4192,-7710,-24,-443,-271,-82,174,-92
600,-1436,3814,-7182,-15,-373,-227,-83,173,-92
610,-1408,3718,-6980,0,-275,-156,-84,174,-91
620,-1522,3868,-7108,17,-166,-97,-81,174,-92
630,-1790,4212,-7732,30,-107,-82,-82,174,-91
640,-1978,4414,-8302,16,-97,-67,-83,174,-91
650,-2032,4532,-8422,36,-115,-46,-82,173,-93
660,-2010,4472,-8236,32,-121,-32,-83,173,-90
670,-1962,4312,-7840,32,-111,-44,-85,174,-89
680,-1922,4176,-7642,43,-76,-23,-84,174,-90
690,-1826,4262,-7556,50,-40,-1,-83,175,-93
700,-1862,4452,-7816,50,-4,23,-85,174,-91
710,-1878,4578,-8004,56,16,12,-84,175,-91
720,-1866,4692,-8230,55,15,0,-85,172,-92
730,-1854,4732,-8356,43,0,-17,-84,175,-94
740,-1810,4582,-8328,39,-11,-28,-83,175,-92
750,-1780,4432,-8186,41,-22,-28,-82,173,-93
760,-1722,4314,-8102,35,-2,-19,-82,173,-93
770,-1738,4228,-8258,43,5,-6,-84,174,-90
780,-1730,4326,-8348,44,7,5,-83,173,-90
790,-1776,4414,-8428,42,-10,12,-84,173,-91
800,-1724,4476,-8428,42,-25,16,-84,174,-92
810,-1704,4538,-8428,40,-36,15,-85,176,-90
820,-1734,4586,-8446,37,-52,10,-83,176,-92
830,-1720,4602,-8270,37,-45,5,-84,174,-91
840,-1636,4522,-8088,39,-31,4,-83,174,-91
850,-1696,4402,-7810,38,19,22,-82,174,-91
860,-1712,4262,-7698,42,60,43,-81,174,-92
870,-1706,4246,-7690,46,130,73,-84,171,-90
880,-1876,4066,-7866,63,167,111,-82,174,-91
890,-1832,4134,-7920,68,202,137,-83,175,-92
900,-1892,4294,-8004,69,221,144,-82,171,-94
910,-1890,4472,-8174,71,228,163,-81,174,-91
920,-1888,4554,-8330,70,198,160,-83,174,-90
930,-1794,4676,-8264,69,175,140,-80,175,-92
940,-1740,4436,-8016,76,172,136,-85,173,-92
950,-1558,4128,-7518,84,221,168,-82,174,-93
960,-1430,4238,-7368,80,289,171,-81,174,-94
970,-1342,4524,-7910,81,318,202,-82,175,-93
980,-1464,4804,-8398,94,322,187,-84,175,-91
990,-1608,4770,-8890,90,270,160,-81,176,-93
1000,-1458,4772,-8766,63,210,104,-79,176,-94
1010,-1322,4576,-8488,56,193,90,-81,175,-94
1020,-1292,4572,-8612,60,149,92,-82,176,-93
1030,-1354,4456,-8634,56,119,96,-83,177,-95
1040,-1402,4452,-8746,61,83,70,-81,177,-93
1050,-1294,4522,-8606,53,57,63,-79,174,-94
1060,-1158,4456,-8258,52,70,67,-78,176,-93
1070,-1200,4276,-7988,55,108,95,-79,175,-97
1080,-1144,4138,-7812,67,161,142,-79,174,-97
1090,-1100,4096,-7564,71,236,176,-78,175,-93
1100,-1234,4226,-7920,67,304,186,-79,177,-97
1110,-1198,4404,-8058,75,316,211,-79,174,-94
1120,-1194,4506,-8020,69,324,218,-79,175,-96
1130,-1442,4262,-8024,85,338,243,-80,176,-97
1140,-1234,4070,-7876,96,363,260,-79,177,-95
1150,-1434,4272,-8334,96,362,259,-77,177,-95
1160,-1096,4658,-8384,91,338,228,-76,175,-95
1170,-1296,5082,-9074,88,276,198,-78,178,-95
1180,-1350,5186,-9294,75,200,154,-78,177,-97
1190,-1166,5100,-9038,59,123,88,-81,178,-95
1200,-908,4834,-8460,51,82,62,-77,175,-98
1210,-818,4362,-7754,63,115,75,-77,176,-96
1220,-668,3916,-7288,74,201,114,-77,176,-97
1230,-498,3816,-7196,84,305,150,-78,178,-97
1240,-478,4324,-7966,78,375,177,-74,176,-97
1250,-736,4782,-9240,77,334,171,-76,178,-96
1260,-912,4994,-9792,70,230,153,-77,177,-99
1270,-870,5004,-9666,59,131,96,-77,177,-98
1280,-652,4604,-8942,46,45,68,-76,175,-99
1290,-524,4186,-8036,52,57,66,-76,177,-96
1300,-420,3936,-7592,58,109,109,-75,175,-96
1310,-388,3944,-7468,62,166,158,-76,175,-98
1320,-510,4282,-8018,70,213,170,-76,176,-97
1330,-680,4654,-8584,81,236,166,-74,176,-96
1340,-828,4846,-8994,71,199,120,-74,177,-98
1350,-820,4784,-8974,46,147,78,-75,176,-98
1360,-726,4638,-8654,45,105,71,-73,177,-100
1370,-688,4296,-8032,49,118,88,-75,177,-98
1380,-598,3862,-7456,66,193,140,-74,175,-97
1390,-750,3666,-7232,75,256,190,-75,179,-99
1400,-518,3908,-7508,88,353,243,-72,177,-100
1410,-612,4588,-8510,91,358,235,-73,178,-99
1420,-652,5202,-9378,84,315,217,-71,177,-99
1430,-674,5438,-9884,82,197,153,-73,179,-99
1440,-662,4820,-9106,61,116,97,-73,178,-99
1450,-270,4284,-8086,67,134,100,-72,178,-98
1460,18,3902,-7252,74,197,122,-73,177,-98
1470,-80,3834,-7458,84,290,167,-72,178,-100
1480,-42,4096,-7968,77,339,183,-68,176,-99
1490,-40,4596,-8794,79,342,185,-73,175,-101
1500,-316,4902,-9740,72,267,177,-72,177,-100
1510,-204,4878,-9394,65,184,129,-69,178,-102
