Time (ms) ,x-axis acceleration,y-axis acceleration,z-axis acceleration,x-axis gyroscope,y-axis gyroscope,z-axis gyroscope,x-axis magnetometer,y-axis magnetometer,z-axis magnetometer
0,-7802,-74,-198,-131,-1418,-944,-96,164,-70
10,-8152,362,-428,-131,-1432,-977,-102,125,-1
20,-7848,18,672,-121,-1393,-939,-101,125,0
30,-8238,-120,-320,-119,-1459,-901,-100,125,-1
40,-7344,282,-514,-106,-1562,-1019,-98,122,2
50,-8134,-284,1148,-143,-1525,-1041,-100,121,4
60,-8230,-344,264,-157,-1568,-1049,-99,123,3
70,-7922,204,-132,-138,-1646,-1058,-98,121,2
80,-7928,-108,818,-172,-1546,-1044,-95,120,4
90,-7042,-894,1634,-141,-1491,-980,-98,119,4
100,-8024,-578,762,-111,-1532,-987,-96,121,4
110,-8956,-476,138,-118,-1533,-1030,-96,121,3
120,-7338,-1662,2468,-118,-1623,-1007,-96,121,5
130,-7618,-1116,2400,-147,-1584,-1027,-92,119,6
140,-7142,-1282,1266,-163,-1491,-995,-93,122,7
150,-6634,-1818,2502,-104,-1421,-890,-93,120,7
160,-7824,-638,948,-79,-1478,-956,-92,121,5
170,-6954,-1362,2396,-127,-1520,-956,-92,122,4
180,-7502,-972,620,-126,-1505,-944,-89,122,5
190,-7748,-1018,1080,-103,-1517,-998,-89,122,6
200,-6744,-1956,3456,-118,-1572,-1006,-87,119,6
210,-6880,-1806,2884,-124,-1630,-1005,-86,120,5
220,-6860,-1208,2192,-134,-1539,-1012,-86,122,5
230,-6440,-2172,3402,-155,-1471,-979,-85,119,4
240,-6468,-2328,3516,-141,-1503,-981,-85,119,4
250,-7384,-2112,2498,-126,-1492,-948,-85,122,5
260,-6662,-1868,2450,-137,-1497,-940,-84,121,3
270,-5956,-1876,3098,-122,-1496,-963,-82,123,-1
280,-6134,-2934,3784,-89,-1404,-921,-82,123,1
290,-5866,-2886,3522,-69,-1443,-905,-83,123,-1
300,-5664,-2286,4482,-115,-1520,-978,-81,123,0
310,-5404,-2368,3960,-136,-1500,-1010,-81,123,-3
320,-5646,-2680,3886,-144,-1481,-1004,-79,124,-4
330,-6458,-3044,5260,-171,-1435,-991,-78,123,-7
340,-6692,-3178,4436,-148,-1340,-895,-78,124,-8
350,-5814,-3868,5286,-133,-1239,-688,-79,123,-10
360,-4508,-4024,6344,-161,-943,-614,-77,126,-10
370,-3576,-5634,8740,-21,-330,-316,-76,122,-13
380,-5140,-5786,5188,92,47,127,-78,125,-12
390,-5952,-2950,4702,165,139,229,-76,126,-11
400,-5868,-2048,3852,119,123,92,-77,125,-11
410,-5298,-2062,3628,90,78,8,-77,124,-8
420,-5622,-2854,4068,26,80,7,-77,126,-12
430,-5996,-3090,3846,99,44,43,-75,124,-12
440,-5784,-2172,4014,83,28,45,-77,124,-10
450,-5652,-2224,3768,7,10,28,-76,126,-12
460,-5878,-2618,4284,-11,29,28,-78,127,-13
470,-6140,-3018,3960,0,51,54,-79,126,-10
480,-6106,-2896,3828,30,44,87,-78,126,-9
490,-6072,-2648,3724,48,53,80,-79,124,-9
500,-6102,-2520,3864,46,53,41,-77,124,-11
510,-6236,-2966,4516,43,122,50,-76,125,-9
520,-6126,-3734,5360,46,282,171,-77,125,-12
530,-5676,-4196,5968,97,551,401,-78,125,-12
540,-5418,-4088,5992,129,854,601,-77,126,-10
550,-5234,-3752,5268,188,1145,792,-79,125,-8
560,-6140,-3720,5458,218,1380,945,-80,126,-8
570,-6328,-2902,4066,240,1482,1040,-81,123,-5
580,-5764,-2468,3748,266,1541,1056,-80,125,-6
590,-5980,-2410,4254,254,1610,1024,-79,122,-4
600,-6088,-1994,3194,226,1598,1024,-82,122,0
610,-6446,-1854,3346,231,1595,1036,-79,123,-1
620,-6544,-2048,3566,194,1624,1028,-83,123,0
630,-6402,-2260,3118,191,1603,1078,-84,122,2
640,-6298,-2092,4258,157,1664,1035,-83,123,5
650,-6014,-2772,2720,172,1617,1078,-85,120,6
660,-6482,-1774,2930,249,1629,1155,-86,121,5
670,-7286,-1692,2476,240,1651,1063,-87,122,5
680,-7204,-862,454,259,1540,966,-89,123,3
690,-8556,-528,848,238,1364,927,-88,120,3
700,-8268,-784,1542,195,1252,824,-90,121,7
710,-7020,-1126,1700,146,1221,824,-90,122,5
720,-7092,-1278,2452,150,1310,902,-92,122,7
730,-7226,-1624,1858,166,1370,942,-93,122,6
740,-7270,-1256,1368,155,1404,983,-94,120,5
750,-8042,-980,1846,194,1492,994,-93,120,6
760,-8296,-856,1068,193,1489,999,-92,121,7
770,-7230,-1040,1302,212,1489,975,-93,119,6
780,-7856,-780,1358,266,1548,1002,-95,121,4
790,-7124,-802,1174,295,1542,1020,-96,123,3
800,-8024,714,202,306,1429,903,-96,122,6
810,-8050,512,204,235,1359,854,-97,124,6
820,-7852,-44,1038,192,1310,926,-96,122,3
830,-7296,320,1202,156,1350,896,-99,123,2
840,-7598,-482,1204,164,1406,920,-100,124,4
850,-7856,-74,294,135,1441,967,-99,122,0
860,-7560,-32,470,143,1432,886,-99,123,2
870,-8040,-268,308,162,1441,896,-101,125,1
880,-7334,-790,460,196,1505,1003,-102,124,2
890,-7946,-458,306,245,1542,1002,-102,126,-1
900,-7898,-240,-154,288,1581,1055,-101,124,-2
910,-7592,164,-574,299,1578,1111,-103,126,-2
920,-8238,774,-780,299,1565,1050,-104,129,-1
930,-8818,672,-288,241,1586,1050,-103,126,-2
940,-8566,1316,-2322,200,1486,1056,-103,127,-4
