Time (ms) ,x-axis acceleration,y-axis acceleration,z-axis acceleration,x-axis gyroscope,y-axis gyroscope,z-axis gyroscope,x-axis magnetometer,y-axis magnetometer,z-axis magnetometer
0,-318,4084,-8112,-47,-724,-508,-90,170,-81
10,-84,3788,-7774,-49,-685,-478,-72,176,-100
20,-118,3874,-7856,-36,-634,-434,-74,176,-100
30,-264,4526,-8968,-27,-678,-444,-73,178,-99
40,-334,4592,-9260,-43,-738,-463,-73,175,-97
50,-610,4720,-9818,-46,-802,-463,-75,175,-100
60,-812,4272,-8442,-53,-790,-454,-74,175,-98
70,-498,3828,-7668,-27,-733,-407,-76,179,-100
80,-410,4000,-7782,-16,-672,-359,-75,176,-98
90,-842,4514,-8592,-13,-658,-382,-78,177,-97
100,-674,5334,-9126,-42,-699,-434,-75,176,-96
110,-1300,5724,-9808,-63,-829,-523,-78,175,-96
120,-1170,4978,-9136,-81,-909,-557,-78,176,-96
130,-1276,4440,-7758,-61,-912,-573,-78,175,-95
140,-994,3420,-6610,-46,-800,-506,-80,174,-95
150,-1384,3464,-6886,-47,-703,-457,-80,175,-93
160,-1434,4126,-7744,-39,-646,-412,-81,174,-93
170,-1932,4714,-9146,-13,-615,-383,-80,176,-93
180,-1986,5306,-9894,-20,-739,-437,-80,173,-93
190,-1758,5446,-9680,-64,-853,-515,-81,176,-93
200,-1864,5030,-8838,-95,-953,-580,-84,174,-89
210,-1738,3976,-7282,-47,-939,-530,-80,174,-90
220,-1292,3362,-6370,-31,-814,-486,-85,174,-90
230,-1578,3610,-6444,-38,-642,-402,-84,174,-90
240,-1620,4294,-7240,-15,-526,-378,-83,172,-90
250,-2026,4748,-8680,-18,-515,-370,-84,173,-88
260,-2642,5092,-9602,-42,-612,-424,-85,174,-90
270,-2340,4726,-9292,-50,-705,-452,-84,171,-90
280,-2408,4356,-8524,-50,-775,-478,-85,172,-87
290,-1964,4026,-7314,-52,-724,-469,-87,171,-87
300,-2290,4118,-7984,-33,-704,-433,-87,173,-88
310,-2512,4364,-8068,-34,-715,-390,-87,170,-86
320,-2474,4958,-8666,-34,-738,-413,-87,172,-86
330,-2538,5130,-8534,-41,-772,-440,-87,172,-87
340,-2956,5104,-8936,-50,-832,-526,-87,169,-84
350,-2670,4622,-7994,-74,-870,-544,-89,171,-83
360,-2500,4282,-7722,-69,-889,-561,-88,172,-83
370,-2466,4104,-6934,-74,-816,-534,-92,170,-86
380,-2622,4358,-7680,-49,-746,-484,-89,170,-85
390,-2920,4420,-7760,-62,-765,-491,-89,170,-80
400,-3280,4480,-7914,-55,-783,-512,-90,169,-81
410,-3366,4208,-7700,-60,-774,-485,-91,170,-82
420,-2960,3886,-7102,-36,-727,-454,-91,170,-80
430,-3070,3890,-7034,-22,-705,-397,-93,170,-80
440,-3512,4152,-7238,-10,-646,-367,-93,168,-81
450,-3354,4482,-7800,-15,-629,-366,-94,167,-77
460,-3780,4958,-8534,-28,-702,-432,-94,169,-78
470,-4046,5354,-8872,-53,-792,-491,-92,167,-78
480,-3570,4732,-7998,-54,-869,-542,-96,170,-79
490,-3536,4372,-7200,-71,-885,-558,-94,168,-79
500,-3526,3878,-6910,-63,-846,-547,-95,169,-76
510,-3538,3670,-6438,-54,-724,-470,-94,166,-77
520,-3614,3756,-7088,-37,-634,-443,-96,167,-75
530,-4104,4018,-7702,-39,-627,-407,-96,166,-73
540,-4554,4394,-8500,-44,-678,-404,-95,168,-75
550,-4378,4574,-8162,-30,-763,-464,-97,165,-72
560,-4144,4388,-7706,-47,-799,-472,-95,166,-73
570,-4012,3954,-7010,-40,-818,-474,-99,165,-72
580,-3916,3718,-6546,-43,-807,-454,-97,168,-72
590,-4298,4126,-6704,-32,-730,-418,-99,165,-72
600,-4394,4214,-6590,-37,-685,-429,-98,163,-70
610,-4508,4292,-7124,-32,-690,-428,-99,163,-70
620,-4864,4206,-7066,-30,-705,-445,-99,165,-69
630,-4686,4190,-7078,-52,-695,-471,-99,164,-70
640,-4802,4158,-7330,-65,-736,-485,-100,164,-68
650,-4692,4132,-7200,-47,-741,-458,-101,163,-66
660,-5302,4242,-7318,-43,-784,-480,-99,161,-68
670,-4872,4096,-6914,-52,-796,-493,-101,160,-67
680,-4722,3902,-6482,-33,-783,-460,-100,161,-69
690,-4820,3578,-6282,-34,-758,-452,-101,160,-66
700,-4690,3694,-6056,-37,-681,-444,-101,160,-65
710,-4798,3850,-6728,-36,-664,-445,-104,160,-64
720,-5182,4248,-7270,-43,-695,-439,-103,160,-63
730,-5538,4418,-7338,-45,-749,-445,-104,160,-63
740,-5552,4240,-6946,-59,-786,-503,-102,160,-64
750,-5252,3838,-6570,-61,-790,-492,-103,161,-62
760,-5158,3462,-6348,-44,-770,-467,-103,160,-62
770,-5470,3454,-5818,-34,-693,-433,-103,159,-61
780,-5366,3694,-6476,-40,-708,-434,-104,158,-58
790,-5730,4478,-7614,-43,-748,-450,-103,160,-61
800,-6258,4244,-7190,-33,-820,-489,-103,159,-60
810,-6030,4212,-7086,-56,-909,-553,-103,159,-59
820,-5438,3810,-6236,-64,-913,-567,-103,156,-58
830,-5354,3448,-5584,-60,-873,-533,-106,158,-55
840,-5074,3306,-5168,-65,-795,-510,-105,159,-55
850,-5496,3390,-5544,-37,-707,-458,-107,158,-57
860,-5830,3316,-5638,-38,-662,-422,-102,157,-56
