Time (ms) ,x-axis acceleration,y-axis acceleration,z-axis acceleration,x-axis gyroscope,y-axis gyroscope,z-axis gyroscope,x-axis magnetometer,y-axis magnetometer,z-axis magnetometer
0,1310,4342,-9294,177,867,599,-112,137,-20
10,1208,4060,-8692,160,863,570,-59,177,-110
20,1582,4316,-8446,125,850,507,-60,181,-105
30,1960,4850,-8628,113,819,505,-59,180,-107
40,1598,5248,-9638,117,724,479,-61,179,-108
50,1408,5366,-9994,110,584,399,-56,179,-107
60,1464,5540,-10758,85,369,244,-55,182,-109
70,1592,5710,-10910,58,134,96,-57,177,-108
80,1632,5274,-10246,33,-87,-47,-56,179,-108
90,1790,4486,-8754,6,-190,-115,-56,182,-109
100,1802,3750,-7486,16,-160,-96,-58,181,-107
110,1832,3406,-6876,30,-80,-43,-53,181,-109
120,1778,3448,-7128,48,26,18,-57,181,-107
130,1712,3862,-8018,66,84,50,-54,179,-108
140,1682,4562,-9048,63,70,36,-55,179,-108
150,1564,4812,-9724,44,-15,-6,-56,179,-108
160,1562,4824,-9540,32,-116,-46,-55,181,-109
170,1594,4444,-8720,14,-168,-79,-54,180,-109
180,1556,3774,-7878,17,-150,-69,-55,179,-109
190,1560,3472,-7214,31,-86,-27,-56,182,-108
200,1518,3562,-7204,47,-2,27,-58,179,-108
210,1528,3996,-7828,48,53,49,-55,178,-107
220,1460,4574,-8828,47,30,28,-53,180,-107
230,1424,4960,-9604,35,-70,-44,-58,180,-106
240,1394,5162,-9786,24,-206,-122,-59,182,-107
250,1508,4936,-9238,7,-338,-201,-57,181,-108
260,1512,4766,-8970,-10,-452,-292,-57,181,-107
270,1196,5052,-9500,-35,-595,-393,-60,182,-107
280,1444,5142,-10168,-42,-757,-487,-57,181,-106
290,1478,5302,-10266,-49,-886,-572,-59,179,-106
300,1712,5136,-9958,-83,-1031,-655,-58,180,-107
310,1538,5156,-9416,-124,-1176,-748,-58,180,-106
320,1410,4738,-8786,-114,-1250,-783,-60,180,-106
330,1234,4136,-8448,-98,-1267,-787,-61,179,-107
340,1286,3772,-7796,-104,-1238,-753,-63,179,-106
350,1122,4196,-7892,-93,-1196,-725,-63,178,-105
360,1360,3954,-7752,-93,-1119,-680,-64,180,-105
370,608,4402,-7934,-73,-1052,-668,-67,181,-107
380,770,4460,-8200,-95,-1050,-678,-67,180,-105
390,778,4610,-8264,-112,-1046,-676,-70,180,-103
400,302,4792,-8130,-105,-1034,-634,-70,180,-102
410,4,4284,-7944,-63,-1000,-588,-69,178,-101
420,-446,4428,-8302,-52,-991,-567,-70,178,-102
430,-254,4230,-8254,-64,-951,-588,-73,178,-101
