Time (ms) ,x-axis acceleration,y-axis acceleration,z-axis acceleration,x-axis gyroscope,y-axis gyroscope,z-axis gyroscope,x-axis magnetometer,y-axis magnetometer,z-axis magnetometer
0,1352,3870,-7872,84,354,237,-79,173,-94
10,1366,4088,-8408,88,365,251,-61,178,-108
20,1382,4556,-8920,79,344,225,-60,177,-111
30,1320,4696,-9232,72,281,190,-57,180,-107
40,1194,4474,-9034,73,229,166,-59,178,-107
50,1242,4446,-8920,74,156,130,-59,180,-106
60,1500,4410,-8580,59,122,91,-56,179,-106
70,1520,4520,-8668,54,107,69,-59,181,-108
80,1410,4468,-8776,60,76,64,-59,179,-109
90,1496,4374,-8608,53,56,31,-58,178,-109
100,1564,4262,-8460,47,43,23,-60,182,-107
110,1504,4146,-8412,54,38,19,-58,180,-106
120,1550,3992,-8288,50,33,20,-60,180,-108
130,1506,4054,-8250,47,28,24,-59,181,-109
140,1538,3988,-8214,49,35,37,-60,180,-107
150,1482,4150,-8448,51,44,45,-58,181,-107
160,1532,4318,-8822,45,16,32,-56,180,-108
170,1550,4542,-8996,39,-22,7,-57,181,-110
180,1538,4516,-8910,34,-66,-25,-59,180,-107
190,1492,4284,-8472,29,-89,-39,-57,180,-109
200,1512,4026,-8074,27,-78,-36,-58,181,-107
210,1506,3910,-7882,38,-43,-17,-58,183,-109
220,1510,3912,-7924,42,-8,3,-58,180,-109
230,1502,4104,-8250,46,12,10,-59,184,-111
240,1446,4288,-8620,42,5,6,-59,181,-108
250,1400,4364,-8752,41,-25,-6,-58,181,-109
260,1484,4356,-8650,34,-52,-21,-59,180,-108
270,1432,4190,-8492,36,-61,-28,-59,181,-110
280,1492,4004,-8154,32,-60,-23,-58,181,-108
290,1500,3976,-8068,31,-44,-12,-57,182,-108
300,1518,4020,-8100,38,-26,1,-61,179,-108
310,1460,4260,-8496,40,-23,-3,-58,179,-107
320,1502,4454,-8786,39,-60,-27,-60,179,-106
330,1492,4442,-8866,33,-89,-46,-57,181,-107
340,1470,4382,-8672,27,-131,-77,-58,180,-109
350,1452,4284,-8606,22,-159,-101,-59,181,-108
360,1380,4166,-8470,33,-172,-94,-57,178,-106
370,1372,3976,-8440,38,-174,-96,-57,179,-107
