Time (ms) ,x-axis acceleration,y-axis acceleration,z-axis acceleration,x-axis gyroscope,y-axis gyroscope,z-axis gyroscope,x-axis magnetometer,y-axis magnetometer,z-axis magnetometer
0,1504,4332,-8610,113,681,411,-86,171,-86
10,1468,4318,-8822,125,659,436,-58,180,-110
20,1502,4422,-8740,124,618,416,-58,178,-108
30,1668,4552,-9078,114,576,372,-57,179,-108
40,1456,4926,-10026,107,429,279,-57,178,-108
50,1554,5306,-10540,73,247,164,-57,179,-107
60,1642,5416,-10484,38,43,36,-57,179,-106
70,1660,5142,-9782,10,-133,-60,-55,178,-106
80,1696,4400,-8470,10,-188,-94,-57,181,-106
90,1694,3724,-7544,22,-148,-73,-56,179,-107
100,1738,3406,-7072,32,-68,-28,-55,178,-108
110,1670,3490,-7376,49,29,20,-56,178,-107
120,1684,3990,-8082,56,69,45,-59,176,-109
130,1532,4578,-9004,46,56,35,-56,178,-109
140,1420,4746,-9580,33,-31,-9,-55,178,-108
150,1438,4710,-9454,26,-108,-49,-58,180,-107
160,1438,4284,-8548,13,-152,-65,-55,181,-109
170,1504,3722,-7692,21,-125,-53,-54,176,-105
180,1476,3510,-7226,33,-51,-5,-56,178,-107
190,1540,3758,-7464,45,10,32,-57,179,-107
200,1460,4324,-8366,45,12,18,-56,178,-106
210,1470,4872,-9290,46,-48,-32,-60,180,-105
220,1460,5080,-9734,27,-161,-109,-58,180,-107
230,1600,4932,-9298,13,-270,-167,-57,180,-107
240,1404,4538,-9012,12,-351,-220,-57,181,-107
250,1604,4378,-8632,-9,-435,-283,-60,181,-107
260,1368,4758,-9154,-15,-501,-337,-57,179,-108
270,1194,4898,-9812,-16,-602,-376,-58,179,-107
280,1488,5016,-10012,-20,-730,-433,-60,179,-106
290,1506,4920,-9806,-43,-808,-512,-59,178,-106
300,1196,4956,-10086,-78,-959,-586,-62,178,-105
310,1508,4204,-8420,-87,-996,-612,-63,179,-106
320,1180,3870,-7978,-79,-992,-613,-63,178,-107
330,1108,3820,-7902,-61,-928,-572,-64,180,-105
340,950,3804,-7474,-56,-830,-531,-63,180,-106
350,1026,3714,-7406,-60,-776,-480,-63,178,-105
360,910,4222,-8304,-43,-755,-485,-65,179,-103
370,766,4304,-8700,-44,-714,-448,-66,178,-104
380,450,4502,-8854,-58,-723,-443,-65,179,-105
390,482,4224,-8460,-47,-722,-430,-66,178,-100
400,266,4118,-8362,-45,-734,-433,-68,179,-104
410,76,4010,-7856,-40,-703,-398,-66,178,-103
420,-50,4452,-8236,-45,-674,-406,-68,180,-103
430,-72,4792,-8506,-40,-662,-401,-68,177,-101
440,-116,4950,-9050,-33,-731,-419,-69,178,-103
450,-208,4802,-8886,-42,-771,-454,-66,178,-102
460,-82,4876,-8432,-45,-798,-501,-68,177,-100
470,-168,4716,-8420,-50,-787,-532,-68,177,-102
480,-160,4308,-8144,-49,-756,-524,-69,175,-100
490,-342,3932,-7928,-37,-731,-482,-72,176,-99
500,-20,3744,-7614,-23,-665,-455,-71,177,-100
510,-208,4086,-8360,-35,-615,-437,-73,176,-99
520,-430,4566,-9638,-33,-687,-451,-74,176,-100
530,-794,4858,-9658,-44,-759,-462,-71,174,-99
540,-540,4688,-8896,-71,-786,-479,-73,177,-98
550,-460,4010,-7990,-41,-765,-438,-74,176,-97
560,-390,4038,-7638,-47,-707,-409,-75,177,-98
570,-834,4666,-8166,-49,-660,-363,-76,176,-98
580,-1096,5084,-9382,-2,-704,-373,-76,176,-96
590,-1262,5350,-9684,-41,-781,-457,-76,175,-94
600,-946,5380,-9070,-86,-858,-562,-78,176,-95
610,-1326,4604,-8362,-86,-873,-582,-78,174,-96
620,-1090,3940,-7232,-86,-859,-560,-82,174,-92
