Time (ms) ,x-axis acceleration,y-axis acceleration,z-axis acceleration,x-axis gyroscope,y-axis gyroscope,z-axis gyroscope,x-axis magnetometer,y-axis magnetometer,z-axis magnetometer
0,-1604,4664,-8394,90,390,292,-97,168,-75
10,-1646,4786,-8518,85,384,261,-83,174,-93
20,-1540,4584,-8174,80,399,266,-83,174,-93
30,-1564,4522,-8256,93,397,273,-81,174,-91
40,-1572,4274,-7824,95,412,282,-83,173,-92
50,-1332,4168,-7686,96,478,288,-81,174,-90
60,-1426,4014,-7888,90,503,299,-80,175,-92
70,-1456,4274,-8262,105,523,343,-80,175,-94
80,-1554,4600,-8780,108,504,347,-80,174,-92
90,-1430,4842,-8928,106,436,312,-79,174,-93
100,-1466,5010,-8960,97,384,280,-77,174,-97
110,-1390,4768,-8454,90,352,255,-78,177,-95
120,-1124,4106,-7518,98,380,264,-80,176,-94
130,-852,3506,-6810,103,473,301,-80,177,-95
140,-794,3606,-6950,112,577,343,-77,175,-94
150,-792,4204,-7664,125,665,402,-79,175,-98
160,-878,4742,-8604,133,688,413,-77,177,-96
170,-1204,5026,-9798,124,615,388,-74,175,-95
180,-1256,5268,-10164,109,494,325,-76,176,-96
190,-1012,5158,-9814,82,371,236,-77,176,-95
200,-710,4578,-8906,91,296,213,-76,176,-97
210,-572,4086,-8140,81,318,221,-78,176,-99
220,-472,3716,-7576,84,359,258,-74,175,-97
230,-344,3838,-7536,92,451,309,-75,176,-96
240,-414,4418,-8282,93,482,305,-76,176,-97
250,-380,4766,-8786,100,486,310,-74,176,-99
260,-586,4778,-8998,88,439,285,-75,176,-97
270,-492,4398,-8518,88,430,301,-72,176,-99
280,-276,4208,-8360,100,430,310,-73,175,-99
290,-356,4342,-8384,99,448,306,-72,175,-99
300,-344,4482,-8630,93,449,290,-71,176,-97
310,-268,4634,-8646,78,435,273,-74,180,-102
320,-298,4626,-8658,82,404,279,-73,178,-99
330,-102,4480,-8260,81,388,282,-72,176,-100
340,-58,4290,-7886,88,411,292,-70,176,-98
350,8,4056,-7638,104,450,304,-70,177,-102
360,66,4028,-7698,109,503,326,-71,176,-99
370,-92,4428,-8338,102,528,328,-71,179,-100
380,146,4802,-9138,101,502,295,-68,178,-100
390,244,5016,-9428,92,444,260,-68,178,-101
400,96,5016,-9458,80,343,212,-70,178,-100
410,330,4426,-8580,83,318,217,-68,180,-102
420,264,3958,-8052,101,353,247,-67,179,-101
430,464,3624,-7696,101,403,273,-68,179,-102
440,536,3644,-7684,99,476,300,-66,177,-103
450,736,3986,-7928,104,532,333,-66,178,-104
460,830,4418,-8520,111,546,359,-64,180,-104
470,342,4718,-9342,103,493,343,-63,179,-103
480,556,4636,-9012,96,450,322,-66,180,-103
490,632,4382,-8540,89,439,299,-66,179,-104
500,588,4188,-8520,86,422,290,-65,179,-104
510,790,4270,-8414,80,410,269,-65,179,-107
520,754,4652,-8738,72,395,253,-65,180,-105
530,854,4658,-8586,75,386,256,-64,178,-104
540,772,4292,-8252,81,386,265,-63,179,-106
550,782,3980,-8056,92,401,277,-63,180,-106
560,920,4026,-8096,99,438,284,-62,179,-105
570,1136,4166,-8156,90,453,269,-61,180,-107
580,1086,4270,-8444,85,459,285,-62,181,-106
590,1072,4366,-8654,94,435,290,-62,182,-106
600,1224,4416,-8686,101,420,287,-62,180,-104
610,1288,4384,-8740,100,420,280,-62,180,-107
620,1264,4292,-8646,82,377,242,-62,179,-106
630,1512,4032,-7988,76,405,261,-59,178,-107
640,1544,3978,-7600,78,445,304,-57,180,-107
650,1498,4012,-7516,89,508,337,-59,179,-104
660,1662,4156,-8020,104,546,366,-60,181,-108
670,1502,4810,-9214,107,496,308,-59,181,-108
680,1302,5212,-10206,94,351,230,-58,178,-106
690,1524,5266,-10446,74,183,135,-59,181,-106
700,1536,5366,-10330,47,-4,16,-58,180,-107
710,1566,4888,-9470,31,-139,-73,-58,181,-106
720,1666,4044,-8198,22,-158,-93,-59,184,-108
730,1670,3462,-7320,23,-102,-59,-56,183,-106
740,1648,3384,-7070,38,-13,1,-56,181,-106
750,1664,3720,-7620,54,55,45,-59,179,-106
760,1614,4280,-8452,67,82,49,-58,180,-105
770,1468,4684,-9448,43,25,15,-59,179,-108
780,1492,4774,-9610,33,-64,-25,-58,180,-106
790,1492,4584,-8936,19,-135,-62,-59,182,-105
800,1574,4012,-8040,19,-140,-68,-59,181,-105
810,1554,3622,-7450,25,-89,-34,-59,179,-107
820,1538,3540,-7336,38,-13,7,-58,181,-108
830,1562,3916,-7764,50,47,41,-57,180,-107
840,1490,4392,-8496,51,54,45,-57,181,-106
850,1498,4726,-9186,50,19,16,-59,179,-106
860,1486,4796,-9278,29,-59,-28,-58,180,-106
870,1486,4662,-8950,23,-134,-77,-56,179,-107
880,1630,4352,-8418,17,-197,-129,-58,180,-106
890,1642,3938,-8024,19,-179,-119,-58,179,-104
900,1506,3822,-8084,28,-166,-104,-56,179,-107
910,1462,3884,-8214,37,-169,-87,-58,180,-105
920,1562,4420,-8728,30,-195,-108,-57,179,-108
930,1630,4814,-9362,14,-253,-152,-60,180,-107
940,1440,4948,-9786,0,-343,-215,-60,181,-107
950,1514,4682,-9312,-18,-450,-264,-59,181,-107
960,1518,4242,-8304,-20,-467,-274,-60,182,-106
970,1574,4130,-7948,-12,-456,-265,-60,181,-107
980,1490,4526,-8656,10,-464,-273,-60,180,-105
990,1212,4962,-9760,4,-536,-324,-61,181,-107
1000,1128,5046,-10024,-38,-643,-407,-59,178,-106
1010,1244,4584,-8924,-66,-729,-462,-62,181,-104
1020,1054,4054,-8140,-47,-730,-444,-60,179,-106
1030,994,3626,-7314,-42,-676,-414,-62,180,-106
1040,1218,3478,-7168,-21,-549,-350,-62,179,-103
1050,956,3764,-7602,0,-497,-296,-61,179,-105
1060,780,4238,-8280,-3,-451,-275,-64,178,-103
1070,578,4584,-8840,-7,-459,-264,-64,178,-101
1080,646,4562,-8700,-10,-495,-291,-63,180,-105
1090,408,4652,-8876,-9,-525,-307,-67,179,-104
1100,656,4376,-8454,-15,-530,-322,-64,179,-101
1110,394,4076,-8084,-9,-495,-307,-65,178,-101
1120,558,3978,-7896,0,-469,-278,-64,178,-101
1130,820,4328,-7970,-14,-412,-268,-68,177,-103
1140,380,4758,-8620,-3,-421,-275,-65,179,-102
1150,542,4690,-8988,-4,-470,-303,-66,179,-103
1160,406,4568,-8782,-26,-511,-342,-68,179,-101
1170,344,4122,-8184,-18,-510,-331,-66,179,-100
1180,336,4128,-8148,-13,-482,-309,-68,179,-101
1190,440,3894,-8100,-10,-442,-295,-67,179,-102
1200,372,4254,-8516,-13,-439,-289,-69,179,-99
1210,356,4592,-8730,-11,-479,-295,-69,180,-101
1220,224,4622,-8908,-23,-509,-300,-69,178,-100
1230,102,4494,-8908,-16,-552,-315,-70,179,-104
1240,44,4662,-8682,-28,-583,-337,-71,177,-99
1250,44,4716,-8686,-26,-591,-352,-70,178,-100
1260,-44,4536,-8570,-25,-612,-367,-72,176,-100
1270,-20,4274,-8182,-39,-589,-362,-73,177,-97
1280,-102,4166,-7830,-37,-552,-358,-71,178,-97
1290,-80,4164,-7488,-38,-502,-323,-73,179,-100
1300,-406,4314,-8116,-10,-465,-280,-73,178,-99
1310,-500,4364,-8368,5,-453,-279,-71,178,-100
1320,-658,4558,-8724,-18,-473,-305,-74,176,-98
1330,-656,4578,-8812,-20,-510,-306,-71,180,-100
1340,-596,4534,-8654,-18,-544,-317,-73,178,-98
1350,-704,4430,-8076,-22,-528,-318,-73,176,-95
1360,-682,4290,-7954,-12,-509,-302,-73,179,-97
1370,-460,4154,-7578,-11,-452,-275,-75,178,-96
1380,-526,4196,-7638,5,-384,-235,-76,176,-98
1390,-808,4460,-8216,14,-366,-230,-75,175,-98
1400,-1044,4786,-8968,11,-397,-260,-74,176,-98
1410,-940,4952,-9120,-3,-430,-287,-73,177,-97
1420,-1014,5042,-9420,-16,-516,-331,-74,176,-96
1430,-1044,4768,-8826,-26,-554,-354,-77,177,-95
1440,-708,4386,-8332,-38,-572,-362,-78,176,-94
1450,-978,4164,-8092,-23,-567,-349,-81,176,-92
1460,-892,4068,-7968,-19,-532,-321,-77,176,-93
1470,-1162,4164,-8088,-13,-498,-301,-76,176,-94
1480,-1138,4364,-8444,-19,-498,-307,-78,173,-94
1490,-1064,4530,-8190,-25,-467,-292,-79,175,-95
1500,-1082,4522,-8394,-21,-474,-284,-81,176,-93
1510,-1408,4352,-8486,-12,-510,-266,-81,176,-93
1520,-1476,4474,-8238,-13,-488,-281,-78,174,-94
1530,-1378,4566,-8332,-24,-505,-297,-79,174,-92
1540,-1474,4772,-8584,-11,-508,-294,-83,172,-95
1550,-1694,4944,-8854,-18,-541,-328,-81,176,-92
1560,-1836,4922,-9062,-26,-595,-354,-82,175,-92
1570,-1612,4934,-8686,-55,-652,-418,-80,174,-91
1580,-1566,4640,-7940,-43,-703,-427,-81,173,-90
1590,-1560,4016,-7150,-28,-641,-407,-84,174,-91
1600,-1586,3710,-6958,-18,-542,-349,-84,175,-91
1610,-1646,3918,-7254,-15,-459,-307,-84,174,-89
1620,-1754,4332,-7832,-14,-389,-279,-83,173,-90
1630,-2128,4556,-8774,1,-419,-267,-85,173,-88
1640,-2186,4724,-8850,3,-460,-269,-81,173,-88
1650,-1968,4690,-8408,-14,-491,-297,-84,172,-88
1660,-1970,4448,-8080,-10,-526,-305,-85,175,-89
1670,-2158,4364,-8012,-2,-519,-285,-83,172,-88
1680,-2118,4342,-7658,-4,-493,-274,-86,174,-89
1690,-2024,4310,-7746,2,-453,-268,-85,174,-87
1700,-2168,4520,-7946,-4,-441,-266,-86,173,-85
1710,-2262,4622,-8092,-9,-424,-283,-85,171,-85
1720,-2484,4426,-8420,-11,-437,-285,-87,171,-87
1730,-2420,4516,-8380,-13,-468,-296,-86,171,-86
1740,-2332,4656,-8178,-22,-501,-322,-87,172,-86
1750,-2406,4402,-7994,-13,-502,-304,-87,172,-88
1760,-2538,4254,-7902,-11,-483,-286,-85,171,-89
1770,-2684,4278,-8100,-18,-486,-294,-87,170,-86
1780,-2616,4628,-8432,-26,-508,-308,-87,173,-84
1790,-2588,4964,-8504,-20,-557,-324,-90,170,-82
1800,-2716,4766,-8188,-20,-576,-346,-90,172,-82
1810,-2772,4460,-7896,-29,-597,-364,-87,170,-81
1820,-2594,4084,-7462,-44,-599,-358,-89,170,-84
1830,-2698,4036,-7204,-16,-539,-328,-89,169,-83
1840,-2890,4254,-7610,-16,-497,-322,-90,169,-84
1850,-2978,4474,-8024,-25,-485,-312,-89,171,-82
1860,-3090,4556,-8426,-29,-530,-325,-90,171,-82
1870,-3004,4558,-7978,-39,-570,-347,-89,171,-83
1880,-3054,4464,-7716,-38,-566,-355,-91,168,-80
1890,-3066,4244,-7392,-13,-541,-313,-93,170,-80
1900,-3050,4088,-7056,-10,-488,-283,-91,169,-81
1910,-3134,4168,-7352,-2,-443,-259,-91,169,-78
1920,-3268,4528,-7842,-1,-463,-272,-90,169,-80
1930,-3444,4830,-7976,-5,-477,-287,-92,170,-81
1940,-3460,4540,-7894,-5,-485,-304,-91,169,-77
1950,-3416,4318,-7814,-7,-498,-302,-96,172,-81
1960,-3342,4152,-7412,-20,-493,-315,-92,169,-79
1970,-3442,4516,-7796,-26,-498,-326,-96,168,-79
1980,-3534,4516,-7750,-13,-496,-321,-93,169,-78
1990,-3612,4450,-8208,-23,-530,-336,-93,167,-76
2000,-3466,4228,-7682,-34,-574,-348,-94,169,-75
2010,-3472,4182,-7438,-20,-549,-339,-93,167,-76
2020,-3528,4122,-7176,-25,-549,-352,-95,167,-76
2030,-3688,3886,-7280,-17,-519,-325,-94,168,-75
