Time (ms) ,x-axis acceleration,y-axis acceleration,z-axis acceleration,x-axis gyroscope,y-axis gyroscope,z-axis gyroscope,x-axis magnetometer,y-axis magnetometer,z-axis magnetometer
0,1388,3790,-7984,177,1147,745,-99,164,-68
10,1754,3954,-7856,185,1138,779,-60,177,-106
20,1372,4570,-9342,211,1144,780,-60,180,-106
30,1180,4582,-9470,191,1048,741,-61,180,-107
40,1812,5210,-10034,163,935,638,-59,178,-106
50,1800,5630,-10562,127,746,486,-58,178,-106
60,1680,6016,-11260,97,465,306,-57,180,-108
70,1850,6148,-11046,55,185,118,-56,181,-108
80,1776,5962,-10794,21,-83,-54,-57,182,-107
90,1860,4938,-9444,15,-228,-140,-57,179,-109
100,1808,3984,-7988,8,-246,-162,-58,182,-108
110,1868,3208,-6848,20,-156,-111,-58,181,-108
120,1802,3094,-6680,37,-23,-23,-58,182,-107
130,1794,3386,-7366,58,65,38,-57,180,-105
140,1698,4102,-8578,64,92,54,-57,178,-107
150,1550,4726,-9692,42,35,36,-56,178,-109
160,1520,4898,-9898,27,-83,-11,-56,180,-108
170,1526,4810,-9302,16,-171,-54,-58,182,-106
180,1544,4270,-8184,-1,-192,-73,-58,179,-107
190,1610,3676,-7234,14,-149,-55,-58,179,-107
200,1528,3496,-6886,24,-54,3,-55,180,-108
210,1588,3738,-7102,53,35,46,-55,180,-108
220,1510,4428,-8144,55,41,30,-56,181,-106
230,1498,5138,-9200,48,-33,-36,-56,179,-108
240,1392,5520,-10090,27,-180,-132,-54,179,-108
250,1340,5588,-10400,10,-402,-268,-59,181,-107
260,1508,5614,-10416,-15,-645,-404,-61,180,-105
270,1686,5688,-10630,-39,-867,-562,-58,182,-105
280,1526,5298,-10294,-81,-1043,-687,-58,179,-106
290,1452,5348,-10146,-89,-1228,-802,-60,180,-104
300,1638,4986,-9628,-143,-1378,-894,-60,179,-104
310,2008,4976,-9222,-157,-1468,-956,-62,179,-105
320,1296,4522,-9194,-106,-1560,-953,-64,181,-105
330,1158,4116,-8662,-95,-1611,-971,-64,179,-103
340,1496,3752,-7684,-120,-1526,-941,-65,177,-102
350,746,3836,-8508,-101,-1447,-885,-66,178,-102
360,790,3950,-8164,-93,-1442,-852,-66,178,-102
370,498,4644,-8166,-112,-1331,-860,-69,178,-100
380,454,4508,-8532,-114,-1278,-870,-71,174,-99
390,192,4408,-8166,-140,-1262,-839,-70,176,-100
400,-436,4318,-8248,-138,-1246,-800,-73,178,-97
410,-718,4268,-8250,-135,-1262,-777,-74,178,-99
420,-662,4404,-7942,-119,-1264,-773,-74,179,-100
430,-790,4008,-7994,-98,-1253,-730,-74,175,-96
440,-1320,4058,-7562,-82,-1206,-718,-75,176,-95
450,-1214,4218,-7722,-94,-1183,-704,-76,176,-95
460,-980,4686,-8022,-85,-1145,-694,-76,175,-95
470,-1228,4526,-7896,-71,-1165,-691,-78,175,-97
480,-1714,4764,-8304,-64,-1155,-716,-78,177,-95
490,-1226,4282,-7364,-74,-1108,-731,-81,176,-92
500,-966,4432,-8186,-88,-1118,-740,-81,175,-92
510,-1576,4718,-8242,-50,-1104,-744,-85,175,-93
520,-1370,5030,-9286,-67,-1158,-771,-82,172,-91
530,-1658,4458,-8626,-90,-1178,-797,-82,175,-89
540,-1852,4528,-9246,-134,-1216,-818,-85,172,-88
550,-1992,4452,-8614,-109,-1232,-792,-85,171,-89
560,-1668,4152,-7966,-118,-1263,-787,-85,172,-87
570,-1728,4338,-8582,-78,-1228,-727,-86,173,-87
580,-2500,4426,-8388,-51,-1250,-695,-87,173,-86
590,-1892,4418,-8608,-74,-1229,-701,-88,172,-85
600,-2640,4598,-8168,-88,-1239,-732,-88,169,-84
610,-2304,4818,-7982,-103,-1234,-760,-87,170,-84
620,-2430,4790,-8426,-93,-1285,-798,-90,171,-84
630,-3374,4460,-8084,-104,-1313,-786,-89,170,-81
640,-2916,4540,-8000,-113,-1339,-840,-92,171,-81
650,-3422,4142,-7172,-138,-1302,-864,-92,169,-80
660,-3266,3978,-7188,-132,-1306,-853,-93,168,-78
670,-3548,3984,-7192,-111,-1267,-777,-93,167,-78
680,-3422,4212,-7606,-78,-1262,-738,-95,167,-77
690,-4040,4082,-7198,-67,-1284,-770,-92,167,-77
700,-4064,4338,-7568,-68,-1305,-795,-93,166,-75
710,-3530,3872,-7132,-79,-1252,-763,-94,164,-78
720,-3444,3816,-6250,-90,-1197,-750,-97,165,-73
730,-3564,4142,-6746,-81,-1176,-752,-97,167,-73
740,-4226,4610,-7192,-84,-1139,-736,-98,165,-75
750,-4436,4342,-7316,-92,-1143,-768,-98,164,-70
760,-4192,4126,-7354,-116,-1146,-777,-98,163,-70
770,-4184,3942,-6828,-115,-1150,-787,-98,162,-69
780,-4148,3788,-6936,-97,-1127,-720,-101,165,-69
790,-4504,3770,-7058,-77,-1142,-721,-101,163,-69
800,-4900,4204,-7554,-86,-1174,-724,-102,162,-65
810,-4722,4226,-7794,-50,-1227,-746,-100,162,-67
820,-4764,3744,-6514,-82,-1228,-760,-101,160,-65
830,-4726,3946,-6744,-65,-1246,-745,-101,161,-64
840,-5112,4318,-7352,-79,-1260,-730,-103,160,-65
850,-5756,4160,-7040,-107,-1283,-786,-103,160,-62
860,-5044,4366,-6498,-112,-1280,-800,-103,158,-60
870,-5070,3956,-6180,-107,-1275,-823,-104,155,-59
880,-4996,3986,-6430,-104,-1243,-805,-102,157,-60
890,-5858,4102,-6416,-116,-1245,-792,-106,158,-57
900,-6332,3826,-6306,-114,-1299,-810,-103,158,-56
910,-6192,3806,-5878,-120,-1330,-854,-104,156,-53
920,-5998,3032,-5582,-103,-1320,-830,-109,157,-54
930,-5898,2828,-5200,-92,-1292,-809,-104,154,-54
940,-5828,3108,-5018,-97,-1231,-748,-107,154,-54
950,-5820,3304,-5230,-94,-1158,-740,-107,153,-52
960,-5602,3420,-5478,-70,-1121,-719,-107,153,-51
970,-6770,3572,-5190,-77,-1062,-686,-108,154,-50
980,-6752,3456,-5760,-94,-1076,-681,-106,151,-49
990,-6624,4020,-6032,-82,-1126,-729,-108,152,-46
1000,-7038,3700,-5932,-93,-1163,-731,-109,151,-49
1010,-6858,3354,-5274,-90,-1235,-761,-107,151,-46
1020,-6568,3170,-5490,-89,-1241,-781,-108,148,-46
