Time (ms) ,x-axis acceleration,y-axis acceleration,z-axis acceleration,x-axis gyroscope,y-axis gyroscope,z-axis gyroscope,x-axis magnetometer,y-axis magnetometer,z-axis magnetometer
0,-834,5320,-9652,124,733,467,-106,156,-54
10,-760,5186,-9604,119,618,398,-73,178,-102
20,-180,4698,-8396,96,608,385,-74,177,-98
30,-406,4094,-7910,115,624,402,-73,175,-99
40,-186,3654,-7592,135,692,461,-71,176,-99
50,-124,4066,-8144,147,733,476,-70,178,-99
60,-32,4712,-8946,130,747,446,-70,177,-100
70,-516,5014,-9862,110,673,409,-70,178,-102
80,48,4960,-9366,111,588,395,-69,177,-99
90,-152,4412,-8446,99,558,395,-71,177,-101
100,408,3928,-7658,118,608,419,-69,176,-103
110,184,3814,-7704,128,676,449,-70,177,-100
120,146,4106,-8062,125,705,466,-69,179,-102
130,558,4844,-8630,101,710,435,-69,177,-103
140,376,4934,-8894,103,686,430,-70,178,-104
150,176,4606,-8978,123,634,420,-67,180,-104
160,468,4316,-8402,110,601,409,-66,177,-104
170,580,3908,-7578,127,657,424,-65,180,-102
180,528,3800,-7732,123,722,461,-66,179,-103
190,838,3944,-7998,144,764,498,-66,176,-107
200,546,4546,-8770,136,740,485,-65,178,-106
210,864,4670,-8894,135,728,472,-63,180,-105
220,706,4678,-9324,123,659,436,-64,179,-106
230,876,4290,-8822,126,626,428,-60,181,-107
240,1428,4168,-8050,113,656,411,-63,180,-105
250,1158,4230,-7962,111,679,434,-61,181,-104
260,1256,4320,-8472,139,694,438,-61,178,-107
270,1002,4626,-8844,110,655,420,-62,180,-105
280,1618,4216,-8638,125,687,427,-58,180,-105
290,1046,4296,-9030,136,626,420,-57,182,-106
300,1650,4416,-8770,107,575,371,-57,180,-107
310,1784,4964,-9558,86,485,293,-56,180,-107
320,1614,5342,-10236,62,283,185,-58,179,-107
330,1520,5614,-10760,47,82,75,-58,182,-110
340,1550,5262,-9988,23,-106,-25,-57,177,-108
350,1690,4478,-8674,13,-180,-84,-57,178,-109
360,1714,3796,-7634,18,-157,-78,-56,179,-108
370,1790,3446,-7116,32,-76,-42,-55,179,-108
380,1698,3496,-7156,41,10,14,-58,179,-108
390,1670,3872,-7888,57,67,45,-57,180,-107
400,1548,4476,-8876,54,58,36,-55,179,-109
410,1438,4768,-9592,37,-14,-8,-57,179,-109
420,1488,4758,-9386,33,-99,-42,-56,180,-108
430,1488,4390,-8748,14,-149,-69,-54,178,-108
440,1506,3816,-7776,20,-134,-56,-56,181,-108
450,1500,3498,-7258,33,-73,-15,-57,181,-105
460,1522,3592,-7228,44,12,33,-57,179,-106
470,1514,4020,-7868,53,73,49,-55,177,-106
480,1446,4610,-8734,53,46,36,-57,178,-106
490,1506,4980,-9450,41,-38,-24,-58,178,-106
500,1562,4960,-9454,28,-151,-94,-57,179,-108
510,1500,4688,-9116,21,-244,-150,-56,181,-107
520,1596,4378,-8402,10,-290,-182,-57,181,-108
530,1532,4190,-8452,10,-328,-205,-58,179,-107
540,1580,4412,-8794,-3,-399,-262,-57,180,-107
550,1432,4924,-9524,-23,-492,-320,-58,179,-105
560,1298,5178,-10430,-21,-622,-382,-59,179,-107
570,1128,5314,-10148,-29,-775,-452,-60,180,-108
580,1486,5002,-9828,-52,-847,-518,-62,180,-105
590,1272,4782,-9424,-87,-973,-605,-61,178,-105
600,1474,4164,-8086,-74,-974,-605,-62,181,-106
610,1410,3926,-7894,-65,-952,-596,-62,182,-105
620,1452,3836,-7492,-62,-882,-555,-65,180,-103
630,1032,3892,-7896,-52,-805,-528,-63,180,-105
640,668,3850,-7770,-42,-775,-487,-64,180,-106
650,670,4258,-8158,-52,-760,-494,-63,180,-104
660,358,4202,-8538,-43,-721,-442,-64,179,-102
670,362,4250,-8602,-48,-718,-430,-66,179,-104
680,124,4280,-8694,-42,-704,-412,-66,180,-103
690,-196,4198,-8372,-37,-733,-414,-68,178,-103
700,98,4192,-8038,-20,-711,-398,-67,179,-101
710,292,4454,-8048,-30,-683,-410,-68,180,-102
720,314,4732,-8632,-34,-677,-414,-69,177,-100
730,-122,4892,-8942,-27,-738,-429,-70,180,-100
