Time (ms) ,x-axis acceleration,y-axis acceleration,z-axis acceleration,x-axis gyroscope,y-axis gyroscope,z-axis gyroscope,x-axis magnetometer,y-axis magnetometer,z-axis magnetometer
0,-184,4146,-7916,-16,-292,-177,-72,178,-101
10,-138,4234,-7870,7,-274,-153,-72,177,-100
20,-294,4320,-8120,17,-240,-148,-71,179,-100
30,-576,4468,-8784,21,-239,-141,-75,178,-101
40,-592,4590,-8920,27,-258,-150,-73,176,-98
50,-514,4546,-8698,6,-278,-165,-73,176,-99
60,-572,4510,-8762,-1,-312,-187,-75,177,-97
70,-510,4394,-8486,0,-321,-175,-74,178,-98
80,-496,4300,-8070,1,-301,-171,-73,176,-98
90,-578,4238,-8130,4,-274,-163,-74,174,-97
100,-514,4318,-8348,22,-271,-148,-75,177,-96
110,-422,4572,-8358,21,-264,-164,-75,179,-98
120,-618,4588,-8766,20,-242,-159,-76,177,-97
130,-682,4692,-8864,4,-270,-179,-73,177,-100
140,-538,4432,-8410,-7,-281,-193,-74,176,-95
150,-556,4154,-8114,4,-264,-170,-74,174,-96
160,-482,3996,-7894,9,-230,-142,-76,174,-97
170,-562,4062,-8060,8,-187,-130,-74,176,-97
180,-574,4208,-8236,13,-166,-99,-76,178,-95
190,-680,4442,-8454,29,-161,-77,-75,177,-95
200,-754,4588,-8660,20,-196,-84,-76,175,-96
210,-838,4698,-8776,28,-200,-98,-77,175,-95
220,-846,4674,-8762,13,-233,-121,-75,173,-98
230,-842,4564,-8522,3,-277,-154,-75,177,-97
240,-732,4578,-8276,5,-276,-158,-77,176,-95
250,-760,4690,-8290,6,-275,-164,-77,174,-97
260,-1006,4620,-8512,6,-290,-169,-76,175,-95
270,-934,4660,-8406,3,-298,-175,-78,175,-97
280,-824,4692,-8370,-8,-301,-199,-80,177,-95
290,-936,4652,-8430,-2,-313,-206,-79,176,-95
300,-1146,4558,-8726,-9,-354,-217,-77,175,-98
310,-1052,4628,-8562,-5,-386,-228,-78,176,-97
320,-934,4470,-8122,-19,-362,-238,-77,175,-93
330,-914,4184,-7902,-13,-353,-212,-79,176,-97
340,-908,4276,-7864,1,-290,-169,-78,174,-97
350,-1006,4262,-7928,9,-256,-151,-79,173,-95
360,-1108,4310,-8128,12,-221,-132,-78,175,-96
370,-1176,4424,-8212,12,-225,-141,-79,173,-92
380,-1100,4584,-8298,6,-234,-126,-79,176,-94
390,-1190,4542,-8148,4,-229,-132,-81,175,-93
400,-1224,4444,-8238,15,-217,-117,-81,176,-94
410,-1302,4418,-8332,14,-221,-130,-79,175,-94
420,-1250,4358,-8126,12,-216,-131,-78,175,-94
430,-1364,4394,-8232,13,-230,-143,-79,175,-92
440,-1324,4334,-7948,12,-192,-105,-82,177,-94
450,-1268,4428,-7880,16,-153,-92,-79,175,-96
460,-1376,4548,-8224,11,-147,-91,-81,173,-92
470,-1540,4814,-8780,20,-180,-103,-81,174,-94
480,-1620,5002,-9072,15,-231,-128,-80,174,-91
490,-1470,4942,-9030,8,-293,-180,-82,175,-93
500,-1522,4652,-8614,-5,-333,-216,-80,173,-93
510,-1486,4264,-8108,8,-335,-200,-82,173,-94
520,-1318,3946,-7610,13,-284,-165,-81,174,-92
530,-1306,4108,-7750,11,-237,-145,-81,174,-92
540,-1414,4682,-8494,13,-231,-145,-80,177,-94
550,-1752,5034,-9208,21,-286,-167,-83,173,-93
560,-1824,5204,-9450,-8,-371,-214,-83,175,-92
570,-1692,5030,-8976,-24,-441,-269,-81,174,-90
580,-1494,4544,-8230,-22,-449,-272,-83,174,-91
590,-1442,4132,-7656,-22,-430,-268,-82,174,-90
600,-1534,3888,-7268,-15,-371,-222,-82,174,-92
610,-1526,3776,-7114,6,-273,-155,-82,172,-90
620,-1614,3894,-7374,28,-176,-98,-83,174,-91
630,-1866,4202,-7896,34,-123,-79,-82,172,-92
640,-1950,4318,-8258,24,-103,-68,-81,176,-93
650,-2032,4492,-8352,32,-112,-50,-84,176,-91
660,-1980,4408,-8074,28,-116,-38,-84,173,-92
670,-1924,4270,-7742,32,-96,-31,-85,173,-87
680,-1930,4212,-7732,39,-65,-14,-83,173,-90
690,-1916,4344,-7774,48,-26,11,-84,174,-91
700,-1912,4500,-7998,50,-8,14,-84,174,-91
710,-1914,4652,-8134,55,-9,9,-85,175,-90
720,-1936,4686,-8206,46,-5,-5,-85,174,-89
730,-1888,4618,-8210,44,-12,-19,-82,174,-89
740,-1830,4544,-8134,39,-12,-25,-86,172,-91
750,-1782,4442,-8156,39,-6,-24,-84,174,-90
760,-1748,4382,-8140,38,0,-15,-84,174,-92
770,-1830,4290,-8252,44,11,-7,-85,172,-90
780,-1840,4368,-8396,43,-5,3,-85,176,-90
790,-1820,4454,-8536,44,-16,5,-86,173,-89
800,-1754,4504,-8512,41,-41,4,-84,175,-91
810,-1758,4470,-8392,41,-47,1,-81,175,-91
820,-1722,4496,-8306,33,-56,7,-86,174,-92
830,-1684,4536,-8248,36,-49,0,-84,174,-89
840,-1708,4580,-8064,34,-41,1,-84,174,-90
850,-1726,4514,-7992,41,-9,0,-86,172,-92
860,-1764,4392,-7896,47,30,20,-83,175,-93
870,-1786,4296,-7830,44,74,41,-83,173,-92
880,-1884,4146,-7798,51,123,86,-81,172,-92
890,-1830,4124,-7628,73,169,125,-82,174,-90
900,-1874,4184,-7892,69,215,133,-84,173,-89
910,-1898,4236,-7950,73,235,151,-82,172,-91
920,-1880,4346,-8140,75,219,170,-80,173,-90
930,-1896,4340,-8052,93,230,186,-82,174,-92
940,-1734,4428,-8086,80,226,178,-83,174,-92
950,-1694,4512,-7816,80,248,166,-81,176,-94
960,-1606,4588,-8000,91,264,193,-79,171,-93
970,-1612,4568,-7936,95,301,206,-84,173,-94
980,-1524,4574,-8242,88,306,177,-82,176,-92
990,-1456,4692,-8424,74,293,144,-80,171,-93
1000,-1412,4654,-8580,73,247,125,-82,175,-95
1010,-1480,4566,-8618,72,209,121,-82,176,-94
1020,-1492,4460,-8706,75,193,120,-81,174,-93
1030,-1478,4526,-8928,60,139,82,-79,174,-93
1040,-1306,4632,-8796,51,85,61,-82,178,-94
1050,-1252,4628,-8704,48,44,50,-80,176,-94
1060,-1162,4350,-8238,54,51,74,-81,175,-92
1070,-1162,4138,-7918,56,99,89,-81,175,-97
1080,-1042,4034,-7634,63,158,123,-81,175,-93
1090,-960,4238,-7658,62,233,155,-78,176,-93
1100,-1122,4420,-8002,69,287,192,-78,174,-96
1110,-1308,4362,-8092,78,312,212,-81,174,-94
1120,-1256,4316,-8166,71,342,212,-78,174,-95
1130,-1206,4218,-7974,73,345,209,-77,176,-93
1140,-1076,4298,-7808,83,381,249,-78,177,-96
1150,-1268,4386,-8246,94,372,263,-76,174,-95
1160,-1340,4700,-8672,90,355,244,-77,176,-97
1170,-1378,4952,-9186,82,265,208,-80,175,-97
1180,-1196,5222,-9114,74,181,145,-77,175,-95
1190,-1230,5176,-9016,62,119,94,-79,175,-96
1200,-1048,4766,-8344,59,95,83,-76,175,-97
1210,-888,4336,-7850,64,118,80,-77,175,-97
1220,-696,3950,-7312,72,192,100,-76,176,-96
1230,-588,3888,-7392,89,284,144,-77,176,-96
1240,-640,4236,-8054,98,347,191,-76,175,-96
1250,-814,4640,-9002,93,332,179,-77,175,-97
1260,-1004,4842,-9752,81,241,157,-76,178,-96
1270,-880,4960,-9736,72,139,106,-76,175,-99
1280,-610,4696,-9008,54,77,74,-75,177,-97
1290,-584,4172,-8354,57,47,80,-75,177,-98
1300,-562,3820,-7650,69,102,119,-74,176,-99
1310,-408,3838,-7440,75,183,159,-76,176,-98
1320,-448,4304,-7862,67,225,164,-74,175,-99
1330,-560,4810,-8410,72,248,164,-75,177,-97
1340,-758,5128,-9062,55,210,133,-73,176,-99
1350,-788,4960,-9104,57,146,109,-75,177,-99
1360,-808,4690,-8750,62,108,75,-76,179,-99
1370,-734,4196,-8182,59,103,80,-76,176,-98
1380,-726,3822,-7686,73,160,100,-74,176,-95
1390,-658,3676,-7454,70,228,143,-75,176,-98
1400,-572,3850,-7538,85,305,201,-73,176,-100
1410,-764,4322,-8400,86,306,225,-73,178,-100
1420,-734,4784,-9080,88,289,209,-73,176,-98
1430,-776,5220,-9654,75,206,147,-75,176,-99
1440,-506,5014,-9070,54,131,103,-73,176,-99
1450,-306,4438,-8042,57,165,110,-75,179,-98
1460,-264,4022,-7482,62,200,126,-72,180,-100
1470,-46,3972,-7338,73,282,168,-71,176,-100
1480,-174,4252,-8150,85,348,193,-72,176,-98
1490,-202,4518,-8764,99,325,202,-73,179,-98
1500,-310,4766,-9352,70,298,169,-72,180,-100
1510,-400,4770,-9648,68,208,141,-70,175,-100
1520,-86,4732,-9010,63,139,112,-71,178,-100
1530,42,4324,-8338,51,110,87,-71,176,-98
1540,54,3952,-7836,64,150,123,-72,178,-101
1550,78,3982,-7772,64,188,159,-70,176,-100
1560,184,4240,-7896,73,237,193,-71,176,-103
1570,-122,4648,-8632,77,247,177,-71,178,-98
1580,-184,4898,-9160,75,216,149,-70,178,-100
1590,-206,5014,-9488,63,157,97,-71,178,-98
1600,-202,4606,-8932,45,111,72,-72,177,-100
1610,-136,4284,-8304,52,96,78,-71,177,-101
1620,30,4074,-7692,53,127,97,-71,179,-103
1630,36,4162,-7910,60,179,110,-70,176,-102
1640,-44,4460,-8402,60,186,110,-70,177,-102
1650,-96,4512,-8672,65,168,109,-68,178,-101
1660,-22,4374,-8498,66,174,115,-70,178,-103
1670,-32,4140,-8390,74,164,121,-68,177,-101
1680,66,4132,-8124,75,186,126,-69,177,-103
1690,226,4086,-8024,82,237,149,-70,179,-104
1700,326,4118,-7886,76,273,170,-68,177,-102
1710,224,4182,-8212,83,324,197,-70,180,-103
1720,282,4348,-8684,86,302,204,-70,180,-104
1730,350,4644,-8946,68,252,153,-67,176,-105
1740,344,4698,-9110,63,200,119,-68,177,-104
1750,382,4470,-8756,54,149,111,-68,179,-102
1760,468,4226,-8232,51,156,123,-68,178,-103
1770,424,4172,-8094,72,203,153,-69,182,-104
1780,492,3966,-7946,79,254,170,-67,177,-104
1790,422,4110,-8424,82,279,173,-66,177,-102
1800,560,4250,-8430,83,282,202,-66,179,-104
1810,432,4424,-8556,79,299,198,-66,178,-103
1820,478,4410,-8580,83,283,204,-67,178,-106
1830,374,4520,-8760,82,260,186,-66,178,-106
1840,530,4564,-8708,68,227,154,-67,179,-103
1850,528,4676,-8890,53,172,107,-63,178,-105
1860,558,4514,-8780,62,140,102,-65,181,-103
1870,646,4364,-8370,57,115,77,-64,179,-104
1880,650,4222,-8120,54,116,84,-67,181,-105
1890,676,4274,-8214,64,120,87,-65,180,-104
1900,694,4518,-8590,57,124,85,-65,178,-103
1910,708,4546,-8818,58,110,69,-65,180,-105
1920,780,4426,-8592,56,98,71,-63,179,-105
1930,736,4034,-8140,63,130,94,-62,181,-103
1940,766,3610,-7576,89,196,146,-65,183,-105
1950,932,3492,-7404,84,288,189,-63,179,-102
1960,954,3712,-7690,97,375,241,-63,177,-104
1970,972,4238,-8456,97,398,258,-64,174,-106
