Time (ms) ,x-axis acceleration,y-axis acceleration,z-axis acceleration,x-axis gyroscope,y-axis gyroscope,z-axis gyroscope,x-axis magnetometer,y-axis magnetometer,z-axis magnetometer
0,-694,-6926,4420,-4,101,138,-31,158,-33
10,-648,-6364,4020,1,83,114,-16,27,110
20,-506,-5766,3606,5,102,134,-19,27,109
30,-560,-5674,3494,1,125,176,-18,27,109
40,-778,-6040,3826,1,131,197,-19,29,110
50,-822,-6512,4068,2,124,191,-20,27,110
60,-770,-6588,4118,-3,126,179,-19,24,113
70,-1014,-6406,3910,-2,94,145,-19,26,111
80,-924,-6134,3714,2,101,153,-19,26,111
90,-814,-5946,3518,-7,139,199,-20,26,110
100,-766,-6020,3468,1,179,247,-16,27,110
110,-762,-6052,3570,-2,222,298,-21,27,113
120,-1096,-6188,3910,-12,210,280,-21,24,110
130,-1012,-6720,4078,10,182,255,-19,30,110
140,-1046,-6908,4334,19,129,194,-20,26,112
150,-1022,-6738,4090,19,108,154,-20,28,111
160,-930,-6162,3718,23,114,147,-22,23,113
170,-982,-5850,3590,14,136,186,-17,27,111
180,-984,-5806,3590,-2,175,226,-21,27,111
190,-990,-6066,3650,-6,204,281,-18,26,112
200,-858,-6268,3902,-9,231,306,-22,24,111
210,-1226,-6308,3908,-14,232,310,-22,25,114
220,-1156,-6408,4026,-16,215,286,-23,26,112
230,-1272,-6450,4022,-6,197,273,-19,28,111
240,-1210,-6584,4056,-4,173,233,-20,26,111
250,-1380,-6584,4072,7,131,185,-23,26,109
260,-1324,-6474,4084,8,106,152,-23,25,113
270,-1308,-6332,3870,21,83,123,-20,24,109
280,-1330,-6118,3608,21,82,126,-24,23,113
290,-1426,-6130,3684,16,82,129,-21,25,112
300,-1438,-6350,3862,13,99,140,-23,28,110
310,-1504,-6634,4010,11,85,138,-23,26,111
320,-1462,-6576,4026,16,99,139,-25,25,109
330,-1512,-6336,3756,9,94,134,-20,25,108
340,-1300,-5844,3320,1,141,183,-26,23,112
350,-1358,-5586,3194,-7,197,257,-25,25,113
360,-1482,-5654,3338,-12,249,321,-22,25,109
370,-1570,-6132,3812,-22,260,352,-22,25,111
380,-1618,-6670,4112,-16,238,328,-24,24,112
390,-1576,-7042,4352,-6,196,267,-26,25,114
400,-1592,-6882,4310,-2,146,194,-27,25,111
410,-1662,-6326,3966,12,117,164,-25,26,112
420,-1560,-5902,3494,17,106,149,-22,25,111
430,-1434,-5812,3364,16,124,172,-24,26,113
440,-1490,-5920,3536,6,149,207,-24,25,110
450,-1650,-6224,3692,-2,157,232,-26,25,112
460,-1824,-6670,4028,-4,140,214,-23,26,112
470,-1868,-6934,4200,0,116,152,-27,25,111
480,-1872,-6882,4136,6,88,119,-25,25,111
490,-1888,-6330,3760,24,64,101,-24,27,111
500,-1790,-5862,3340,29,82,119,-25,25,110
510,-1642,-5556,3032,18,143,188,-27,22,111
520,-1832,-5454,3056,-1,213,270,-25,25,111
530,-1992,-5776,3384,-22,258,342,-29,24,112
540,-1990,-6324,3758,-21,267,359,-30,25,111
550,-1996,-6900,4002,6,236,324,-27,26,109
560,-2056,-6980,4158,15,190,254,-25,25,113
570,-2166,-6640,4056,10,158,204,-28,24,111
580,-2236,-6460,3924,15,96,146,-28,25,113
590,-2030,-6374,3750,18,67,119,-28,28,112
600,-1976,-6404,3708,22,56,102,-28,22,111
610,-2046,-6326,3742,19,54,86,-26,28,111
620,-2104,-6296,3764,21,41,71,-27,27,108
630,-2122,-6282,3812,19,31,69,-31,24,112
640,-2130,-6346,3768,26,19,47,-26,26,112
650,-2120,-6288,3668,37,6,32,-28,23,112
660,-2178,-6244,3576,35,-2,12,-30,24,110
670,-2166,-6230,3676,34,-11,2,-30,25,111
680,-2184,-6284,3730,31,-19,8,-31,26,112
690,-2192,-6380,3754,30,-29,-6,-29,23,111
700,-2178,-6396,3670,37,-34,-15,-31,25,113
