Time (ms) ,x-axis acceleration,y-axis acceleration,z-axis acceleration,x-axis gyroscope,y-axis gyroscope,z-axis gyroscope,x-axis magnetometer,y-axis magnetometer,z-axis magnetometer
0,-1486,4478,-8996,188,1125,741,-107,132,-10
10,-1254,4344,-9234,176,1120,726,-80,174,-92
20,-1346,4388,-8614,164,1085,682,-79,176,-94
30,-962,4192,-8490,170,1050,691,-79,174,-95
40,-910,4056,-8060,180,1076,742,-76,176,-97
50,-730,4054,-7976,179,1143,739,-78,176,-95
60,-140,3748,-7644,172,1213,786,-76,175,-97
70,-122,4254,-7964,146,1247,798,-75,176,-97
80,-382,4974,-8740,160,1259,810,-76,177,-96
90,-658,5076,-9302,170,1228,818,-74,174,-97
100,-290,4660,-9104,171,1160,773,-70,179,-101
110,-390,4488,-8426,161,1164,743,-72,177,-99
120,-188,4894,-9086,139,1125,719,-69,178,-101
130,608,4276,-8056,173,1146,722,-72,176,-102
140,132,4154,-8360,197,1124,740,-69,177,-101
150,-26,4344,-8544,203,1124,760,-69,177,-102
160,524,4416,-8542,212,1150,749,-67,177,-103
170,582,4326,-8614,201,1161,711,-66,179,-102
180,1016,4732,-8980,154,1167,689,-66,178,-106
190,1536,4302,-8062,166,1146,704,-63,179,-103
200,1338,4134,-8262,180,1146,741,-64,178,-108
210,1288,3668,-7510,187,1175,742,-62,179,-106
220,1624,4370,-8354,147,1205,747,-61,178,-104
230,1346,4726,-8532,148,1159,752,-60,179,-108
240,1862,4906,-9046,154,1080,725,-59,179,-105
250,1496,5590,-10238,150,884,621,-59,180,-107
260,1444,5990,-11198,123,627,453,-58,179,-108
270,1704,6162,-11454,87,357,251,-56,180,-108
280,1676,5906,-11308,63,63,54,-56,182,-107
290,1818,5472,-10306,39,-184,-118,-57,179,-106
300,1962,4554,-8622,18,-253,-168,-57,180,-108
310,1914,3594,-7394,16,-226,-157,-56,181,-106
320,1882,3024,-6576,27,-99,-79,-57,181,-106
330,1722,3138,-6948,50,24,0,-58,178,-109
340,1758,3738,-7910,61,91,46,-58,180,-107
350,1638,4388,-9066,52,82,46,-57,180,-108
360,1478,4796,-9902,35,-16,10,-56,178,-106
370,1464,4850,-9734,26,-135,-34,-58,179,-108
380,1532,4518,-8898,3,-189,-69,-58,179,-107
390,1566,3874,-7804,3,-193,-62,-58,180,-107
400,1552,3548,-7040,18,-108,-20,-56,180,-109
410,1522,3572,-6904,32,-20,34,-59,180,-110
420,1556,4014,-7412,58,67,57,-56,181,-109
430,1508,4522,-8400,65,81,53,-55,179,-109
440,1478,5004,-9232,58,27,-6,-58,179,-108
450,1312,5094,-9852,47,-112,-83,-56,178,-105
460,1320,4888,-9740,44,-251,-164,-59,180,-107
470,1440,4806,-9472,20,-400,-264,-58,180,-106
480,1344,4778,-9626,-3,-547,-374,-59,178,-105
490,1570,5218,-10524,-19,-762,-496,-58,179,-105
500,1734,5560,-10872,-64,-961,-621,-59,180,-109
510,1798,5520,-10800,-81,-1203,-745,-60,181,-106
520,1682,5352,-10096,-150,-1383,-867,-60,179,-105
530,1720,5338,-9682,-162,-1525,-937,-63,181,-105
540,1586,4308,-8266,-145,-1558,-966,-63,179,-103
550,1542,3896,-8408,-138,-1572,-968,-64,179,-103
560,1076,3546,-7876,-131,-1533,-939,-66,180,-103
570,988,3638,-7470,-109,-1425,-886,-66,178,-104
580,768,3788,-7916,-94,-1389,-874,-69,179,-102
590,282,4726,-9002,-115,-1376,-869,-67,178,-101
600,444,4482,-8580,-124,-1330,-872,-69,179,-101
610,162,4530,-8344,-136,-1313,-846,-68,177,-101
620,-274,4224,-7972,-133,-1286,-806,-72,179,-98
630,-388,4194,-7940,-120,-1282,-773,-74,177,-99
640,-818,4250,-8272,-94,-1274,-746,-74,178,-97
650,-848,4306,-7896,-89,-1238,-740,-74,178,-97
660,-836,4040,-8104,-78,-1218,-716,-76,177,-96
670,-1036,4490,-8394,-90,-1174,-700,-75,177,-94
680,-870,4698,-7734,-69,-1158,-671,-79,176,-95
690,-1002,4986,-8820,-57,-1132,-687,-78,176,-95
700,-1070,4712,-8294,-54,-1163,-722,-78,178,-93
710,-1238,4706,-8272,-76,-1111,-734,-80,175,-93
720,-1614,4338,-8118,-83,-1117,-755,-80,175,-91
730,-1226,4616,-8244,-57,-1104,-717,-82,174,-92
740,-1652,4734,-9002,-64,-1140,-756,-83,173,-92
750,-1516,4714,-9548,-103,-1187,-777,-83,173,-90
760,-1594,4552,-8928,-126,-1239,-822,-84,175,-91
770,-1508,4410,-8050,-83,-1245,-788,-84,172,-88
780,-1742,4420,-8572,-112,-1279,-790,-85,172,-90
790,-2084,3856,-7866,-77,-1236,-724,-86,170,-88
800,-2080,4168,-8458,-77,-1221,-718,-87,172,-86
810,-2026,4060,-7748,-91,-1221,-722,-90,173,-86
820,-2570,4830,-8102,-102,-1203,-750,-90,172,-87
830,-2400,4966,-8834,-97,-1237,-748,-88,172,-84
840,-2986,4802,-8350,-107,-1268,-787,-91,170,-83
850,-3556,4484,-8032,-125,-1305,-816,-90,171,-84
860,-2990,4308,-8136,-136,-1335,-851,-93,170,-83
870,-3122,4234,-7108,-137,-1323,-858,-92,171,-80
880,-3204,4322,-7440,-121,-1297,-828,-92,168,-80
890,-3004,3856,-6888,-111,-1262,-775,-96,167,-80
900,-4022,4108,-7682,-94,-1236,-757,-92,166,-79
910,-3952,4234,-7670,-95,-1254,-772,-96,167,-77
920,-3438,4156,-7446,-83,-1255,-797,-95,168,-76
930,-4070,3876,-6782,-95,-1254,-786,-96,168,-73
940,-3840,4182,-7212,-102,-1197,-744,-96,166,-74
950,-3978,4226,-6848,-96,-1186,-735,-96,165,-74
960,-4282,4320,-6826,-96,-1135,-726,-96,164,-72
970,-4300,4478,-7326,-105,-1150,-776,-99,163,-73
980,-4290,4272,-6954,-113,-1161,-786,-99,164,-70
990,-4056,3824,-6870,-94,-1161,-757,-97,163,-70
1000,-4322,3592,-6360,-96,-1129,-734,-99,163,-68
1010,-4652,4170,-7346,-105,-1116,-736,-98,162,-66
1020,-4724,4128,-7808,-81,-1149,-740,-99,163,-69
1030,-5072,4122,-7816,-67,-1205,-756,-102,163,-66
1040,-4832,4016,-7004,-103,-1263,-749,-101,163,-66
1050,-4832,4116,-7128,-82,-1258,-765,-101,160,-65
1060,-5266,3908,-6724,-92,-1261,-759,-101,161,-64
1070,-5162,4242,-7290,-101,-1284,-774,-103,158,-63
1080,-5200,4020,-6906,-89,-1295,-781,-105,159,-59
1090,-5086,3710,-6114,-93,-1276,-784,-106,159,-60
1100,-5032,3606,-5854,-99,-1264,-788,-105,158,-59
1110,-5434,3944,-6554,-120,-1245,-780,-106,157,-57
1120,-5924,4084,-6654,-119,-1285,-809,-105,154,-58
1130,-5564,3998,-6374,-115,-1329,-856,-105,156,-55
1140,-5874,3572,-5426,-112,-1331,-857,-106,157,-57
1150,-5736,3062,-4992,-113,-1295,-814,-105,156,-53
1160,-5342,2876,-4848,-101,-1239,-767,-107,155,-54
1170,-6128,2928,-4786,-86,-1164,-712,-108,153,-52
1180,-6186,3358,-5086,-74,-1115,-706,-108,155,-49
1190,-6016,3366,-5294,-82,-1068,-696,-106,154,-51
1200,-6446,3562,-5420,-101,-1056,-703,-108,150,-47
1210,-6520,3830,-6034,-68,-1095,-693,-108,152,-47
1220,-6774,3636,-5782,-98,-1154,-730,-109,151,-47
1230,-6662,3638,-6332,-94,-1208,-761,-110,153,-47
1240,-6718,3234,-5590,-99,-1254,-767,-109,148,-44
1250,-6512,3040,-5020,-92,-1250,-785,-106,150,-43
1260,-6252,3168,-5560,-95,-1270,-791,-107,149,-44
1270,-6964,3188,-5072,-115,-1301,-811,-109,150,-42
1280,-7098,3120,-5058,-115,-1289,-792,-109,148,-41
1290,-6968,2900,-4718,-104,-1270,-788,-110,146,-38
