Time (ms) ,x-axis acceleration,y-axis acceleration,z-axis acceleration,x-axis gyroscope,y-axis gyroscope,z-axis gyroscope,x-axis magnetometer,y-axis magnetometer,z-axis magnetometer
0,-8732,714,-1872,174,1431,896,-78,126,-14
10,-8608,1320,-2726,216,1383,936,-108,132,-11
20,-8292,1198,-2694,223,1358,913,-107,133,-11
30,-7678,1214,-1588,218,1370,949,-110,131,-9
40,-8174,1574,-2346,246,1401,953,-109,132,-14
50,-8098,1112,-2090,252,1390,980,-107,134,-13
60,-7360,688,-1632,233,1410,998,-107,133,-15
70,-7572,1710,-2526,234,1397,957,-108,133,-16
80,-8056,1496,-1432,232,1419,993,-108,136,-17
90,-8196,2100,-2936,180,1388,962,-109,135,-19
100,-7724,2150,-3210,198,1325,922,-109,136,-19
110,-8388,1800,-1950,210,1364,935,-107,137,-20
120,-7356,1284,-2432,175,1399,895,-107,138,-21
130,-8086,1940,-2978,200,1454,931,-107,138,-22
140,-7780,1918,-3236,218,1482,1021,-108,140,-23
150,-7512,1680,-2470,247,1471,1010,-110,139,-26
160,-7108,2272,-3516,239,1469,995,-109,139,-27
170,-7118,2452,-3882,233,1491,1010,-109,141,-27
180,-6678,1814,-2992,249,1561,1086,-107,141,-29
190,-7234,2572,-3940,240,1555,1061,-108,141,-31
200,-7248,2972,-3928,215,1609,1050,-110,143,-29
210,-7762,3220,-4372,217,1618,1027,-109,142,-33
220,-7210,2450,-4942,234,1666,1091,-109,143,-34
230,-7560,3468,-6098,191,1433,955,-109,146,-33
240,-7512,3376,-5238,183,1375,845,-106,144,-37
250,-7398,3004,-5532,190,1356,909,-109,145,-38
260,-6552,3126,-5558,169,1268,856,-108,146,-38
270,-6170,2488,-4016,211,1288,891,-106,147,-40
280,-6320,3638,-4718,211,1329,930,-106,147,-41
290,-6660,3974,-5664,173,1341,866,-110,151,-40
300,-6652,3284,-5476,185,1325,890,-108,150,-40
310,-6822,3250,-4884,233,1327,972,-107,149,-44
320,-6706,3726,-5416,202,1349,960,-107,152,-45
330,-6604,3776,-5606,195,1336,886,-106,153,-48
340,-6314,3570,-5396,204,1319,947,-108,151,-46
350,-6010,3392,-4784,209,1350,956,-105,155,-47
360,-5478,2848,-4122,197,1430,920,-106,153,-50
370,-5500,3572,-5870,210,1467,954,-106,153,-53
380,-6454,4124,-5650,204,1437,970,-106,154,-52
390,-5624,4866,-8012,210,1452,998,-103,157,-53
400,-5842,3734,-6402,235,1422,993,-104,157,-54
410,-5622,4298,-7054,208,1415,961,-102,158,-54
420,-5288,4640,-7022,206,1393,912,-101,158,-58
430,-5798,3812,-6528,187,1366,890,-103,159,-57
440,-5122,3470,-6202,209,1367,939,-102,159,-60
450,-4770,4198,-6606,209,1389,904,-106,164,-62
460,-4908,4116,-6862,205,1443,961,-102,160,-61
470,-4944,4068,-7516,198,1434,972,-101,160,-62
480,-4230,4476,-7620,182,1437,925,-100,162,-63
490,-5168,3916,-6994,221,1399,964,-98,162,-65
500,-4056,4138,-7506,219,1351,949,-100,163,-67
510,-3592,4308,-7558,219,1353,936,-99,163,-69
520,-4060,3972,-7628,211,1295,927,-97,166,-67
530,-3786,3896,-6526,210,1330,950,-96,165,-70
540,-3466,4420,-7412,206,1332,926,-97,164,-70
550,-3106,3952,-6866,215,1320,949,-95,166,-72
560,-3632,4876,-8042,200,1370,930,-93,167,-72
570,-3642,4678,-6964,206,1345,932,-94,168,-72
580,-3466,4224,-7466,210,1332,919,-92,166,-74
590,-3614,4600,-8356,198,1327,910,-94,170,-75
600,-3012,3940,-6500,188,1339,933,-94,167,-77
610,-2646,4128,-6334,172,1396,915,-90,169,-78
620,-2494,5280,-8100,158,1452,899,-91,170,-77
630,-2610,4854,-7546,217,1428,940,-89,170,-81
640,-2938,4568,-8026,219,1395,958,-87,170,-80
650,-2158,4100,-6822,218,1414,947,-89,171,-84
660,-2200,4318,-8078,238,1397,939,-89,171,-82
670,-1906,4516,-8346,198,1365,928,-87,171,-84
680,-1302,4602,-7834,177,1414,921,-84,173,-84
690,-1900,5210,-8408,217,1425,952,-83,173,-87
700,-1730,4670,-8142,244,1393,995,-82,174,-86
710,-1686,5030,-8414,215,1390,954,-84,173,-87
720,-1308,4712,-8786,237,1407,942,-81,174,-88
730,-1074,4640,-9002,230,1333,908,-79,174,-89
740,-686,4888,-8520,245,1352,910,-79,172,-94
750,-588,4884,-8544,185,1336,874,-79,174,-91
760,-1216,4822,-8782,172,1265,871,-76,172,-92
770,-526,3870,-8028,233,1285,942,-75,175,-94
780,-564,4238,-7818,226,1333,925,-76,176,-95
790,-258,3952,-7448,206,1434,968,-75,177,-95
800,-190,4078,-8700,233,1442,997,-72,178,-96
810,-262,4642,-8516,197,1456,981,-70,180,-94
820,102,4616,-8516,194,1418,961,-72,177,-98
830,334,4880,-8802,171,1375,967,-67,178,-97
840,516,4646,-8308,195,1337,936,-69,178,-98
850,806,5012,-7934,177,1356,900,-67,177,-98
860,386,4498,-8180,187,1333,908,-67,179,-101
870,360,4308,-8436,228,1319,948,-66,179,-101
880,794,4090,-7986,239,1366,944,-64,180,-102
890,1222,4324,-8340,205,1407,925,-62,179,-101
900,1370,4164,-7806,184,1401,885,-63,181,-100
910,1922,4614,-8086,176,1404,894,-60,179,-103
920,1984,4360,-7770,174,1398,906,-61,179,-103
930,1660,4970,-8872,195,1317,875,-57,180,-104
940,1838,5024,-9962,214,1117,780,-58,180,-105
950,1912,5938,-11200,220,885,659,-55,178,-101
960,1952,5912,-11524,142,589,424,-55,182,-105
970,1974,6316,-11888,93,257,181,-57,181,-105
980,2210,6386,-11272,42,-71,-30,-54,183,-105
990,2338,5302,-9824,14,-258,-155,-56,179,-105
1000,2120,4152,-8306,1,-312,-191,-54,180,-105
1010,2172,3152,-6886,-3,-255,-147,-55,179,-104
1020,2098,2968,-6496,28,-129,-58,-56,182,-107
1030,2232,3432,-6652,53,3,20,-56,181,-106
1040,2048,4142,-7950,51,84,34,-56,181,-106
1050,1872,4748,-9184,56,49,32,-56,179,-105
1060,1724,5126,-9770,34,-39,-22,-55,182,-108
1070,1650,5056,-9544,-5,-153,-89,-54,181,-105
1080,1636,4482,-8600,-5,-205,-111,-54,181,-106
1090,1554,3870,-7660,2,-195,-97,-56,181,-104
1100,1492,3276,-6842,9,-118,-34,-55,181,-105
1110,1430,3456,-6904,31,-24,34,-55,180,-105
1120,1470,4182,-7578,43,7,52,-57,179,-104
1130,1552,5072,-8764,47,-37,1,-55,183,-101
1140,1480,5832,-10200,30,-221,-126,-56,181,-106
1150,1434,6428,-10938,19,-490,-305,-57,180,-103
1160,1386,6894,-11650,-27,-804,-530,-55,182,-103
1170,1794,6352,-10788,-82,-1103,-756,-55,180,-104
1180,2026,5918,-9798,-79,-1341,-913,-56,178,-103
1190,2026,5668,-9128,-175,-1500,-1072,-60,180,-101
1200,2398,5034,-9690,-156,-1595,-1143,-59,182,-103
1210,1616,4382,-8724,-123,-1721,-1150,-61,182,-103
1220,1512,4204,-8336,-169,-1748,-1192,-63,180,-103
1230,1692,3316,-8330,-157,-1757,-1171,-64,179,-101
1240,1246,3688,-8464,-171,-1760,-1150,-67,181,-102
1250,1730,4122,-7680,-173,-1724,-1069,-69,180,-100
1260,956,4280,-8382,-137,-1658,-1028,-68,180,-98
1270,856,4228,-7928,-133,-1656,-1013,-69,180,-98
1280,480,4868,-7668,-162,-1573,-1034,-70,179,-98
1290,42,4716,-7688,-155,-1561,-1041,-72,177,-96
1300,-284,4542,-7914,-134,-1561,-995,-73,176,-95
1310,-782,4390,-7816,-149,-1482,-968,-75,177,-94
1320,-988,3852,-7500,-148,-1458,-925,-77,177,-93
1330,-1238,4380,-8138,-105,-1453,-887,-77,176,-93
1340,-1362,4648,-7896,-112,-1406,-910,-77,177,-94
1350,-1446,4420,-7362,-130,-1353,-916,-77,177,-92
1360,-1674,4520,-7712,-114,-1358,-914,-77,177,-90
1370,-1852,4778,-8434,-116,-1389,-889,-81,175,-91
1380,-2264,5188,-9042,-87,-1420,-900,-83,172,-88
1390,-1936,4770,-8062,-110,-1397,-947,-83,174,-90
1400,-1962,4518,-8032,-117,-1414,-937,-83,175,-88
1410,-1614,4084,-6844,-104,-1381,-948,-86,171,-85
1420,-2032,4810,-7096,-141,-1291,-980,-85,173,-85
1430,-1818,4656,-8166,-147,-1303,-968,-86,175,-84
