Time (ms) ,x-axis acceleration,y-axis acceleration,z-axis acceleration,x-axis gyroscope,y-axis gyroscope,z-axis gyroscope,x-axis magnetometer,y-axis magnetometer,z-axis magnetometer
0,-4380,3796,-6946,1,-447,-265,-100,162,-65
10,-4478,4074,-7122,-7,-448,-267,-97,164,-72
20,-4670,4344,-7360,-4,-455,-280,-98,165,-69
30,-4636,4414,-7508,-8,-474,-280,-98,162,-72
40,-4834,4402,-7386,-10,-507,-304,-99,163,-66
50,-4714,4186,-7164,-11,-517,-305,-102,163,-69
60,-4730,4064,-7124,-18,-538,-317,-100,163,-69
70,-4500,4110,-6720,-14,-513,-319,-99,164,-68
80,-4612,3838,-6416,-14,-468,-290,-97,163,-69
90,-4612,3560,-6362,-16,-421,-271,-99,161,-65
100,-4668,3586,-6296,-11,-357,-237,-101,162,-65
110,-4714,3400,-5880,-3,-252,-177,-100,160,-66
120,-4628,3270,-6016,15,-139,-100,-99,162,-69
130,-4798,3480,-6278,37,-74,-17,-102,162,-65
140,-5042,3838,-6798,51,-41,16,-100,163,-66
150,-5292,4210,-7230,59,-83,-7,-101,161,-68
160,-5254,4256,-7098,52,-111,-35,-102,160,-65
170,-4932,3998,-6646,41,-123,-41,-100,162,-66
180,-4690,3724,-5946,43,-74,-16,-100,160,-64
190,-4622,3772,-5936,47,-5,5,-99,162,-65
200,-4750,4028,-6318,41,51,23,-100,161,-68
210,-5094,4238,-7052,40,59,16,-102,163,-68
220,-5246,4380,-7446,29,14,-12,-98,161,-65
230,-5178,4278,-7390,22,-34,-41,-99,161,-64
240,-4986,3982,-6962,16,-61,-44,-101,159,-64
250,-4754,3626,-6598,31,-45,-31,-99,163,-67
260,-4676,3532,-6510,43,1,2,-99,163,-67
270,-4756,3634,-6636,58,40,47,-100,162,-67
280,-4898,3944,-6976,61,55,58,-101,162,-67
290,-5046,4170,-7128,62,58,61,-101,161,-68
300,-5074,4116,-7062,54,87,76,-101,161,-68
310,-4666,3980,-6626,50,127,103,-98,163,-67
320,-4510,3668,-6216,68,192,145,-100,163,-68
330,-4692,3598,-6218,75,278,189,-98,162,-65
340,-4704,3594,-6260,84,355,232,-102,163,-67
350,-4802,3650,-6518,85,413,265,-100,162,-67
360,-5068,3870,-6984,97,438,292,-98,162,-67
370,-5132,3960,-7080,109,431,306,-98,162,-68
380,-4848,4060,-7090,96,407,280,-99,165,-69
390,-4540,4112,-6886,99,413,296,-96,163,-70
400,-4614,4248,-6844,117,412,301,-97,163,-69
410,-4668,4144,-6550,109,428,289,-96,160,-70
420,-4450,4010,-6476,89,448,273,-100,165,-72
430,-4316,4102,-6670,101,477,282,-97,166,-71
440,-4240,4130,-6660,98,532,293,-98,165,-73
450,-4326,4050,-7148,100,559,328,-98,166,-72
460,-4330,4198,-7712,94,529,313,-98,167,-71
470,-4474,4280,-7924,103,506,330,-96,166,-73
480,-4354,4118,-7796,99,464,303,-97,166,-74
490,-4308,4148,-7626,90,425,279,-98,166,-73
500,-4054,4286,-7772,94,411,270,-97,165,-72
510,-3926,4250,-7688,93,393,269,-98,166,-73
520,-4000,4258,-7622,94,381,290,-96,168,-74
530,-3844,4272,-7412,84,382,268,-94,165,-73
540,-3682,4162,-7268,76,388,262,-96,166,-77
550,-3744,4260,-7214,84,424,291,-95,166,-74
560,-3860,4144,-7306,90,451,305,-96,166,-76
570,-3788,4118,-7300,89,469,301,-96,167,-76
580,-3872,4236,-7722,81,448,283,-94,168,-75
590,-3904,4324,-7854,77,419,280,-96,166,-77
600,-3612,4104,-7178,96,426,301,-93,167,-78
610,-3722,3952,-7088,109,461,340,-95,167,-76
620,-3664,4162,-7350,114,469,340,-97,168,-81
630,-3772,4478,-7450,95,483,320,-93,167,-77
640,-3836,4788,-7860,98,464,300,-93,169,-78
650,-3672,4554,-7534,97,452,294,-93,167,-79
660,-3514,4350,-7506,103,455,298,-95,168,-78
670,-3374,4530,-7408,89,467,273,-93,168,-78
680,-3306,4622,-7646,92,474,272,-91,168,-80
690,-3152,4624,-8094,96,453,272,-93,168,-82
700,-3332,4266,-7720,95,453,263,-92,171,-80
710,-3226,4226,-7782,86,471,266,-93,169,-82
720,-2984,3988,-7534,94,465,287,-90,172,-81
730,-2966,3906,-7584,108,510,327,-91,170,-81
740,-2934,3850,-7678,119,547,361,-92,169,-82
750,-2950,4380,-8188,111,528,359,-91,169,-83
760,-2944,4864,-8576,100,494,345,-89,167,-82
770,-2840,5124,-8790,98,424,308,-91,169,-82
780,-2910,4868,-8554,93,353,266,-89,169,-84
790,-2794,4568,-8122,85,330,248,-91,173,-84
800,-2622,4412,-7798,75,335,218,-90,170,-85
810,-2510,4352,-7548,67,361,218,-88,170,-82
820,-2544,4250,-7418,77,402,247,-88,169,-85
830,-2488,4218,-7382,75,436,266,-89,172,-86
840,-2694,4226,-7412,84,482,288,-89,172,-85
850,-2642,4106,-7880,97,517,346,-87,172,-83
860,-2694,4204,-8110,112,498,350,-88,171,-86
870,-2906,4500,-8450,107,487,340,-89,172,-85
880,-2700,4796,-8608,96,413,295,-88,171,-86
890,-2504,4902,-8262,95,389,277,-87,174,-86
900,-2318,4762,-7810,80,364,250,-86,173,-86
910,-2020,4128,-7008,94,420,287,-87,175,-87
920,-1764,4028,-6824,106,518,340,-87,173,-86
930,-1912,4190,-7132,113,595,356,-84,171,-89
940,-1902,4470,-8106,119,626,352,-83,174,-89
950,-2368,4926,-9150,108,588,333,-85,172,-88
960,-2340,4996,-9344,95,512,309,-82,174,-90
970,-2134,4638,-9090,86,427,272,-84,175,-88
980,-1882,4546,-8558,80,382,253,-85,174,-92
990,-1816,4356,-8328,83,370,241,-82,174,-93
1000,-1694,4310,-8226,98,373,281,-82,174,-92
1010,-1562,4474,-8214,91,362,277,-82,175,-90
1020,-1712,4660,-8204,88,379,272,-83,172,-91
1030,-1550,4666,-8332,95,390,271,-87,178,-93
1040,-1624,4472,-8326,93,397,267,-84,174,-91
1050,-1554,4264,-8080,92,403,257,-80,174,-92
1060,-1552,4124,-7914,86,406,250,-83,172,-93
1070,-1526,4174,-7704,83,448,268,-81,177,-91
1080,-1466,4282,-7688,81,488,289,-82,178,-91
1090,-1516,4162,-7952,96,517,344,-79,175,-93
1100,-1560,4400,-8548,107,512,362,-80,175,-95
1110,-1636,4794,-8900,100,468,332,-79,173,-93
1120,-1654,5080,-9224,100,406,295,-77,175,-95
1130,-1448,4846,-8776,93,353,257,-78,176,-94
1140,-1312,4378,-7928,90,356,250,-79,174,-95
1150,-726,3904,-6926,79,438,271,-75,175,-93
1160,-664,3876,-6742,94,542,329,-78,176,-95
1170,-794,4064,-7394,122,642,395,-77,176,-95
1180,-928,4236,-8248,139,688,415,-79,175,-96
1190,-928,4872,-9394,126,656,376,-75,177,-94
1200,-880,5164,-9942,98,532,321,-77,176,-96
1210,-1084,5378,-10050,86,398,263,-77,177,-96
1220,-812,4886,-9240,76,315,211,-76,178,-96
1230,-522,4310,-8200,71,306,209,-74,177,-97
1240,-438,3896,-7662,76,324,234,-76,177,-97
1250,-298,3958,-7436,86,398,291,-75,177,-96
1260,-428,4350,-8010,104,464,331,-75,177,-98
1270,-498,4560,-8534,106,474,312,-73,176,-99
1280,-490,4522,-8698,105,488,292,-73,176,-100
1290,-380,4126,-8392,91,470,295,-75,179,-99
1300,-326,4138,-8156,86,468,293,-72,178,-100
1310,-310,4408,-8248,85,485,308,-74,179,-100
