Time (ms) ,x-axis acceleration,y-axis acceleration,z-axis acceleration,x-axis gyroscope,y-axis gyroscope,z-axis gyroscope,x-axis magnetometer,y-axis magnetometer,z-axis magnetometer
0,-2842,4584,-8186,-28,-616,-374,-87,171,-86
10,-2426,4110,-7496,-40,-607,-367,-89,168,-85
20,-2524,4044,-7196,-16,-553,-338,-87,170,-85
30,-2704,4176,-7514,-20,-490,-317,-89,167,-84
40,-2884,4314,-7952,-19,-475,-313,-90,171,-83
50,-3114,4580,-8400,-22,-517,-325,-90,170,-85
60,-3240,4676,-8214,-38,-569,-339,-92,169,-84
70,-2856,4416,-7522,-30,-552,-353,-90,171,-82
80,-3190,4308,-7622,-15,-548,-318,-89,170,-79
90,-3140,4012,-7140,-7,-500,-287,-90,172,-81
100,-3080,4082,-7378,-4,-452,-264,-93,168,-80
110,-3406,4472,-7848,-2,-457,-269,-91,169,-79
120,-3440,4724,-8066,2,-472,-266,-93,170,-80
130,-3568,4584,-7876,-3,-490,-296,-91,169,-79
140,-3420,4264,-7704,-13,-495,-316,-95,167,-79
150,-3294,4232,-7470,-20,-494,-314,-94,168,-78
160,-3146,4380,-7506,-22,-508,-314,-94,168,-78
170,-3592,4470,-7712,-7,-505,-326,-95,169,-77
180,-3782,4506,-8086,-27,-533,-337,-91,167,-77
190,-3534,4354,-7882,-38,-569,-355,-94,168,-79
200,-3542,4136,-7418,-13,-549,-335,-96,169,-77
210,-3592,4092,-7202,-18,-548,-353,-94,165,-77
220,-3700,4034,-7436,-17,-516,-334,-95,167,-76
230,-3772,4322,-7736,-24,-517,-330,-94,167,-76
240,-3870,4450,-7726,-23,-505,-305,-96,169,-76
250,-3838,4190,-7284,-7,-487,-271,-94,169,-77
260,-3896,4096,-7196,-6,-479,-280,-96,167,-75
270,-4060,4404,-7382,-14,-472,-293,-95,165,-77
280,-4060,4526,-7824,-21,-507,-306,-96,166,-75
290,-4162,4468,-7820,-16,-541,-319,-97,166,-74
300,-4192,4266,-7360,-16,-557,-338,-96,166,-73
