Time (ms) ,x-axis acceleration,y-axis acceleration,z-axis acceleration,x-axis gyroscope,y-axis gyroscope,z-axis gyroscope,x-axis magnetometer,y-axis magnetometer,z-axis magnetometer
0,-1178,4816,-8706,65,82,75,-62,179,-104
10,-894,4574,-8114,48,85,56,-74,176,-98
20,-728,4270,-7534,63,140,78,-78,175,-94
30,-568,4008,-7156,69,226,128,-77,175,-96
40,-706,4086,-7466,80,330,167,-78,178,-98
50,-734,4394,-8288,82,377,173,-75,176,-96
60,-932,4750,-9382,79,314,162,-76,174,-97
70,-932,4918,-9646,77,226,137,-76,176,-98
80,-944,4794,-9616,70,125,99,-77,175,-97
90,-682,4502,-8738,58,68,70,-75,177,-97
100,-524,4084,-7990,47,90,80,-76,178,-96
110,-420,3928,-7606,59,142,130,-77,175,-98
120,-486,4030,-7728,63,200,165,-75,179,-98
130,-618,4364,-8268,76,216,173,-74,175,-97
140,-706,4672,-8678,93,237,165,-76,177,-97
150,-822,4828,-9144,63,190,111,-75,175,-98
160,-792,4732,-8982,55,138,80,-75,176,-96
170,-734,4686,-8714,37,106,63,-75,176,-97
180,-638,4342,-8114,38,109,89,-75,176,-97
190,-658,3992,-7642,61,163,125,-74,176,-98
200,-652,3704,-7454,87,232,175,-76,176,-97
210,-636,3978,-7776,91,302,208,-74,176,-98
220,-670,4514,-8516,91,318,224,-75,177,-97
230,-682,5066,-9274,87,272,206,-73,176,-100
240,-708,5212,-9504,75,191,145,-73,178,-98
250,-586,4806,-8898,57,138,107,-73,177,-99
260,-398,4294,-7992,57,140,120,-73,179,-100
270,-130,3968,-7272,66,209,137,-73,177,-100
280,-178,3972,-7568,83,298,177,-73,177,-99
290,-100,4302,-7910,82,350,182,-73,179,-99
300,-176,4642,-8812,86,340,188,-74,178,-99
310,-384,4926,-9560,78,270,175,-71,178,-100
320,-220,4840,-9300,70,208,129,-74,179,-102
330,-200,4622,-9130,58,135,89,-70,178,-99
340,22,4172,-8394,50,106,89,-72,178,-102
350,-36,3826,-7912,76,158,136,-73,176,-99
360,-88,3784,-7784,79,193,157,-71,177,-101
370,62,4130,-7964,76,240,174,-72,179,-99
380,-34,4688,-8632,68,240,166,-70,178,-103
390,-144,4948,-9242,75,208,148,-71,178,-100
400,-220,5048,-9518,65,143,103,-70,178,-100
410,-270,4656,-8942,58,104,80,-70,177,-100
420,-50,4262,-8206,57,101,75,-70,177,-103
430,56,4078,-7744,60,149,90,-70,178,-101
440,-26,4090,-8034,69,181,109,-69,177,-101
450,-100,4312,-8670,72,161,111,-67,176,-101
460,-30,4468,-8758,74,153,111,-70,179,-103
470,-82,4502,-8694,69,148,123,-70,176,-100
480,112,4320,-8136,60,151,116,-71,177,-100
490,252,4190,-7828,69,197,135,-68,178,-102
500,196,4138,-7918,74,253,159,-70,176,-103
510,182,4024,-8018,81,288,183,-67,180,-101
520,168,4184,-8480,93,286,207,-67,176,-103
530,302,4470,-8602,97,303,198,-69,176,-102
540,134,4712,-9292,84,231,146,-67,179,-102
550,240,4660,-9132,64,171,107,-69,181,-103
560,364,4358,-8752,62,141,89,-68,179,-104
570,540,3940,-8000,65,159,123,-69,178,-104
580,590,4006,-7844,68,215,150,-67,178,-103
590,608,4128,-7852,74,261,182,-67,180,-103
600,582,4338,-8326,78,303,195,-65,177,-103
610,450,4452,-8722,80,310,206,-68,176,-104
620,528,4524,-8660,80,297,204,-68,181,-103
630,546,4484,-8484,70,281,193,-67,180,-104
640,586,4556,-8598,65,267,176,-66,177,-102
650,508,4646,-8836,63,205,151,-64,178,-103
660,492,4688,-8836,67,166,124,-66,180,-104
670,522,4642,-8790,66,140,107,-64,178,-101
680,592,4416,-8462,74,117,91,-66,179,-105
690,684,4294,-8286,62,109,75,-67,181,-103
