Time (ms) ,x-axis acceleration,y-axis acceleration,z-axis acceleration,x-axis gyroscope,y-axis gyroscope,z-axis gyroscope,x-axis magnetometer,y-axis magnetometer,z-axis magnetometer
0,1438,4222,-8614,65,84,57,-88,164,-58
10,1400,4354,-8572,47,85,48,-59,181,-106
20,1376,4266,-8610,61,53,41,-58,180,-106
30,1444,4208,-8506,58,61,40,-60,183,-107
40,1440,4010,-8280,54,63,38,-60,180,-106
50,1554,3806,-7988,58,94,66,-59,179,-107
60,1472,3974,-8408,54,75,54,-60,180,-108
70,1480,4406,-8982,51,45,40,-58,180,-107
80,1502,4712,-9372,45,-13,6,-58,181,-108
90,1500,4610,-9226,25,-83,-35,-59,182,-107
100,1502,4292,-8736,22,-111,-56,-58,180,-106
110,1530,3970,-8044,26,-99,-45,-58,180,-107
120,1528,3728,-7616,37,-47,-22,-58,180,-107
130,1506,3802,-7766,40,4,8,-60,182,-106
140,1474,4092,-8244,47,29,23,-60,181,-107
150,1452,4412,-8820,48,20,17,-58,180,-108
160,1420,4508,-9098,36,-27,-11,-58,181,-107
170,1396,4494,-8952,29,-74,-33,-60,181,-107
180,1386,4188,-8514,24,-95,-43,-62,184,-110
190,1410,3936,-8032,30,-84,-37,-59,181,-108
200,1404,3878,-7870,36,-62,-17,-58,179,-108
210,1472,3982,-7964,35,-20,-4,-60,179,-106
220,1356,4240,-8468,39,-28,-5,-59,177,-105
230,1454,4390,-8768,45,-53,-25,-61,178,-104
240,1382,4522,-8998,36,-86,-47,-59,180,-106
250,1434,4416,-8738,31,-137,-81,-57,179,-105
260,1498,4262,-8518,21,-171,-106,-61,179,-107
270,1514,4242,-8450,13,-195,-121,-60,180,-108
280,1476,4174,-8278,19,-193,-113,-59,182,-107
290,1398,4052,-8266,19,-177,-104,-58,181,-106
300,1422,4144,-8558,18,-162,-101,-62,180,-105
310,1472,4690,-9292,11,-207,-134,-58,177,-108
320,1302,5296,-10126,19,-326,-180,-59,179,-106
330,1290,5288,-10076,-20,-438,-264,-62,181,-107
340,1274,4664,-9458,-48,-532,-335,-62,179,-106
350,1352,4030,-8190,-34,-562,-332,-62,179,-102
360,1320,3516,-7186,-26,-497,-291,-63,180,-105
370,1336,3284,-7018,-22,-410,-260,-63,179,-105
380,1200,3520,-7540,3,-330,-220,-62,178,-105
390,1042,4152,-8382,2,-306,-195,-63,180,-105
400,954,4416,-8754,9,-300,-182,-62,178,-103
410,844,4446,-8796,-8,-323,-191,-62,179,-105
420,906,4520,-8614,0,-348,-210,-62,178,-105
430,842,4328,-8528,-19,-345,-210,-65,178,-103
440,784,3936,-8438,-9,-358,-215,-64,179,-104
450,592,4072,-8496,4,-394,-211,-63,179,-102
460,800,4450,-8408,-8,-372,-206,-63,178,-104
470,630,4602,-8908,-1,-410,-238,-64,179,-103
480,768,4570,-8672,-11,-404,-248,-64,179,-104
490,614,4252,-8346,-14,-412,-257,-65,179,-102
500,662,4010,-7986,-12,-393,-240,-65,177,-102
510,860,3974,-7706,-2,-332,-222,-65,177,-104
520,746,4050,-8098,16,-276,-190,-67,177,-103
530,540,4264,-8498,11,-284,-189,-65,178,-102
540,510,4416,-8886,2,-298,-194,-66,181,-103
550,494,4604,-9104,3,-347,-201,-67,176,-102
560,534,4580,-8848,-23,-383,-227,-66,179,-105
570,498,4438,-8604,-24,-392,-230,-68,179,-102
580,498,4272,-8502,-14,-398,-224,-66,179,-103
590,572,4456,-8526,-16,-409,-235,-67,177,-103
600,506,4542,-8654,-28,-433,-242,-68,178,-102
610,376,4490,-8700,-20,-464,-276,-68,182,-99
620,302,4284,-8412,-21,-464,-281,-68,177,-100
630,260,4308,-8206,-17,-434,-279,-68,177,-103
640,294,4180,-8088,-14,-418,-258,-68,179,-102
650,138,4272,-8324,-11,-382,-244,-68,177,-100
660,88,4320,-8446,-13,-386,-239,-70,177,-100
670,100,4458,-8558,-13,-382,-242,-69,178,-102
680,-70,4414,-8578,-20,-407,-236,-70,177,-101
690,-122,4234,-8232,-15,-401,-233,-72,179,-100
700,-42,4136,-7856,-5,-361,-217,-72,175,-102
710,-134,4038,-8016,10,-332,-178,-71,181,-102
720,-192,4332,-8216,10,-320,-187,-72,176,-100
730,-116,4636,-8534,6,-313,-195,-72,177,-100
740,-216,4776,-8818,-1,-334,-200,-73,176,-100
750,-306,4938,-9046,-10,-394,-235,-72,177,-98
760,-280,4858,-8732,-10,-402,-252,-75,177,-99
770,-62,4410,-8206,-17,-396,-273,-73,176,-98
780,-200,4124,-7770,-2,-370,-247,-72,177,-100
790,-180,4138,-7970,-3,-347,-232,-73,178,-99
800,-246,4244,-7954,-25,-315,-217,-72,177,-98
810,-420,4276,-8400,3,-290,-187,-75,177,-98
820,-532,4386,-8724,5,-327,-189,-73,177,-95
830,-470,4420,-8758,-1,-338,-188,-76,175,-99
840,-382,4402,-8276,-9,-333,-196,-75,174,-97
850,-492,4410,-8428,-8,-345,-191,-74,177,-99
860,-436,4492,-8452,5,-340,-182,-78,176,-98
870,-592,4736,-8746,2,-341,-204,-76,176,-97
880,-738,4994,-9286,-7,-416,-241,-74,176,-97
890,-724,5198,-9338,-27,-504,-286,-76,178,-96
900,-672,5156,-9064,-47,-542,-345,-75,176,-97
910,-742,4638,-8298,-53,-554,-356,-76,176,-96
920,-666,3892,-7230,-28,-524,-326,-78,174,-94
930,-654,3528,-6726,-18,-418,-262,-75,177,-96
940,-686,3784,-7118,-8,-315,-201,-78,174,-93
950,-908,4092,-7794,10,-250,-159,-78,176,-95
960,-1234,4438,-8764,21,-228,-150,-78,176,-93
970,-1306,4710,-9220,11,-284,-148,-77,175,-95
980,-1172,4772,-8786,15,-326,-172,-79,174,-94
990,-1034,4702,-8456,-18,-351,-201,-76,175,-94
1000,-1040,4392,-7996,3,-364,-197,-77,175,-94
1010,-1100,4340,-7864,3,-348,-192,-79,177,-95
1020,-1102,4244,-7812,4,-295,-178,-78,175,-92
1030,-1196,4508,-8148,9,-271,-183,-79,175,-94
1040,-1176,4586,-8320,2,-273,-192,-80,176,-96
1050,-1250,4738,-8598,4,-290,-202,-78,175,-93
1060,-1366,4756,-8892,-12,-320,-230,-79,175,-94
