Time (ms) ,x-axis acceleration,y-axis acceleration,z-axis acceleration,x-axis gyroscope,y-axis gyroscope,z-axis gyroscope,x-axis magnetometer,y-axis magnetometer,z-axis magnetometer
0,-1400,4272,-7862,217,1370,974,-73,178,-94
10,-1082,4460,-8126,234,1420,944,-79,175,-89
20,-1474,4600,-8696,204,1369,922,-78,174,-90
30,-1120,4826,-8688,197,1316,935,-79,176,-91
40,-686,4950,-8568,210,1328,911,-80,176,-91
50,-138,4910,-7742,191,1315,854,-79,176,-94
60,-822,4502,-8538,200,1301,919,-77,176,-93
70,-560,3748,-7632,196,1316,915,-73,176,-94
80,-144,3984,-7454,193,1412,950,-74,177,-94
90,-34,3634,-6944,205,1462,979,-73,174,-96
100,190,4536,-8356,190,1465,1005,-72,177,-98
110,232,5238,-8918,189,1443,964,-69,176,-95
120,328,5078,-8756,189,1401,952,-69,179,-99
130,300,4952,-8914,192,1339,962,-69,179,-97
140,238,5276,-8982,196,1290,930,-65,181,-98
150,692,4658,-7744,179,1345,890,-63,180,-99
160,292,4330,-8086,211,1338,914,-65,180,-100
170,874,4158,-8064,214,1364,930,-64,179,-101
180,1656,4104,-7864,171,1410,897,-61,181,-101
190,1146,5300,-8266,174,1408,894,-61,180,-102
200,1332,4686,-8112,203,1382,930,-62,179,-102
210,1724,5016,-8482,212,1372,925,-63,182,-102
220,1298,5338,-8998,220,1301,889,-58,181,-104
230,1258,5302,-10060,211,1179,801,-56,179,-103
240,1962,5962,-10672,213,927,653,-57,180,-103
250,1882,6124,-11270,160,642,465,-54,181,-106
260,2064,6312,-11774,116,325,236,-54,180,-104
270,2222,6516,-11478,50,-10,2,-52,181,-105
280,2432,5680,-10034,5,-219,-140,-53,179,-104
290,2168,4448,-8720,-11,-307,-186,-57,179,-104
300,2202,3332,-7082,-2,-275,-153,-54,180,-104
310,2108,2992,-6544,15,-147,-65,-55,181,-103
320,2214,3222,-6646,49,-19,13,-57,180,-105
330,2102,4058,-7532,51,77,44,-56,180,-107
340,1962,4630,-8814,58,63,34,-57,181,-105
350,1828,5192,-9600,39,-20,-12,-54,181,-105
360,1708,5168,-9754,7,-131,-76,-53,180,-104
370,1706,4596,-8934,5,-199,-107,-54,183,-105
380,1584,3982,-7824,6,-200,-103,-55,180,-105
390,1504,3468,-7006,1,-133,-60,-55,180,-106
